probe_id,logical_step,elapsed_s,node_id,production_phase,production_quality,production_density_kg_m3,production_u_j_kg,production_temperature_c,production_pressure_mpa,reference_resolved,reference_region,reference_phase,reference_temperature_c,reference_pressure_mpa,reference_quality,reference_minus_production_pressure_mpa
background-reference,12000,120,suction,SubcooledLiquid,,750.4377202844439,1175958.0000015502,280.00000000036914,6.416459283635395,true,REGION-4-MIXTURE,SaturatedMixture,269.34476251006106,5.446657821393141,0.0009044047982072967,-0.9698014622422537
background-reference,12000,120,pressure,SubcooledLiquid,,750.3222372685057,1176622.8592764388,280.15829982772357,6.916459282635455,true,REGION-4-MIXTURE,SaturatedMixture,269.4799217283727,5.4582106824633945,0.0009015025208192097,-1.4582486001720607
background-reference,12000,120,outlet,SaturatedMixture,0.21514191255762516,137.52501576036673,1467078.0882366407,282.54532551462273,6.666459282132472,true,REGION-4-MIXTURE,SaturatedMixture,275.1843705475329,5.963117165910907,0.18990745725188007,-0.703342116221565
background-reference,12000,120,drum,SaturatedMixture,0.04232274972977014,391.80095381344375,1231735.758079411,279.999999989397,6.416459280654079,true,REGION-4-MIXTURE,SaturatedMixture,270.41057386994373,5.5382678699752335,0.03663046988360346,-0.8781914106788458
background-reference,12000,120,feedwater-inventory,SubcooledLiquid,,989.1562750381383,198947.65239464949,47.37848866539275,0.017484899614149164,true,REGION-1,SubcooledLiquid,47.52114057823661,0.12181746458040743,,0.10433256496625827
background-reference,18000,180,suction,SubcooledLiquid,,750.4377202844439,1175958.0000014985,280.00000000035686,6.416459283570216,true,REGION-4-MIXTURE,SaturatedMixture,269.34476251006106,5.446657821393141,0.0009044047982072967,-0.9698014621770747
background-reference,18000,180,pressure,SubcooledLiquid,,750.3222372680223,1176622.8592775452,280.158299827987,6.916459282615045,true,REGION-4-MIXTURE,SaturatedMixture,269.4799217283727,5.4582106824633945,0.0009015025208440037,-1.4582486001516504
background-reference,18000,180,outlet,SaturatedMixture,0.21514191236746674,137.52501585950955,1467078.0881331854,282.54532551462273,6.666459282132472,true,REGION-4-MIXTURE,SaturatedMixture,275.1843705475329,5.963117165910907,0.18990745708466342,-0.703342116221565
background-reference,18000,180,drum,SaturatedMixture,0.04232274973249759,391.80095380137703,1231735.7580839403,279.999999989397,6.416459280654079,true,REGION-4-MIXTURE,SaturatedMixture,270.41057386994373,5.5382678699752335,0.036630469885910386,-0.8781914106788458
background-reference,18000,180,feedwater-inventory,SubcooledLiquid,,989.156275038217,198947.6523921664,47.37848866480158,0.01748489921765343,true,REGION-1,SubcooledLiquid,47.52114057808484,0.12181746458032389,,0.10433256536267045
background-reference,24000,240,suction,SubcooledLiquid,,750.4377202844439,1175958.0000025511,280.00000000060743,6.416459284896833,true,REGION-4-MIXTURE,SaturatedMixture,269.34476251006106,5.446657821393141,0.0009044047982072967,-0.9698014635036918
background-reference,24000,240,pressure,SubcooledLiquid,,750.3222372682667,1176622.8592783234,280.1582998281723,6.916459284313931,true,REGION-4-MIXTURE,SaturatedMixture,269.4799217283727,5.4582106824633945,0.0009015025208314689,-1.4582486018505367
background-reference,24000,240,outlet,SaturatedMixture,0.21514191219961595,137.52501594702187,1467078.0880587266,282.54532551462273,6.666459282132472,true,REGION-4-MIXTURE,SaturatedMixture,275.1843705892562,5.963117169729576,0.18990745707138953,-0.703342112402896
background-reference,24000,240,drum,SaturatedMixture,0.04232274973504648,391.8009537901003,1231735.758087513,279.999999989397,6.416459280654079,true,REGION-4-MIXTURE,SaturatedMixture,270.41057386994373,5.5382678699752335,0.03663046988806629,-0.8781914106788458
background-reference,24000,240,feedwater-inventory,SubcooledLiquid,,989.1562750385899,198947.65238856038,47.37848866394302,0.017484899216694806,true,REGION-1,SubcooledLiquid,47.52114057735906,0.12181746457992443,,0.10433256536322963
background-reference,30000,300,suction,SubcooledLiquid,,750.4377202844439,1175958.0000043039,280.0000000010248,6.416459287105172,true,REGION-4-MIXTURE,SaturatedMixture,269.34476251006106,5.446657821393141,0.0009044047982072967,-0.9698014657120311
