boundary_index,boundary_temperature_c,probe_side,reference_region,reference_phase,reference_pressure_mpa,specific_volume_m3_kg,specific_u_j_kg,reference_quality,production_resolved,production_phase,production_temperature_c,production_pressure_mpa,phase_matches,production_minus_reference_temperature_c,production_minus_reference_pressure_mpa
13,47.42490748912098,R4-VAPOR-SIDE,REGION-4,SaturatedMixture,0.010856878601495297,13.578651289159415,2439331.167339272,0.999999,True,SaturatedMixture,47.18993366481391,0.010728604308310215,True,-0.23497382430707603,-0.00012827429318508152
13,47.42490748912098,R2-SIDE,REGION-2,SuperheatedVapor,0.010856770032709281,13.578801165835932,2439333.4366367473,,True,SaturatedMixture,47.18972506034288,0.010728491010390202,False,-0.2351824287781028,-0.00012827902231907912
14,47.44107317328451,R1-SIDE,REGION-1,SubcooledLiquid,0.01086586048125896,0.0010109763513324998,198628.85648469158,,True,SaturatedMixture,47.302583123991894,0.010789937208212546,False,-0.13849004929261355,-7.592327304641391E-05
14,47.44107317328451,R4-LIQUID-SIDE,REGION-4,SaturatedMixture,0.010865751823740721,0.0010245435748872573,198631.09722621262,1E-06,True,SaturatedMixture,47.30258064506938,0.010789935855236106,True,-0.13849252821512437,-7.581596850461496E-05
14,47.44107317328451,R4-VAPOR-SIDE,REGION-4,SaturatedMixture,0.010865751823740721,13.56822091554214,2439352.655853569,0.999999,True,SaturatedMixture,47.20612386472345,0.010737400717523765,True,-0.2349493085610561,-0.00012835110621695588
14,47.44107317328451,R2-SIDE,REGION-2,SuperheatedVapor,0.010865643166222485,13.568370677355327,2439354.9251180813,,True,SaturatedMixture,47.205915236230396,0.010737287326739606,False,-0.2351579370541117,-0.00012835583948287918
15,47.46560525596135,R1-SIDE,REGION-1,SubcooledLiquid,0.010879337991507513,0.0010109872502930427,198731.38128321213,,True,SaturatedMixture,47.326993784767524,0.010803267424534874,False,-0.13861147119382622,-7.607056697263824E-05
15,47.46560525596135,R4-LIQUID-SIDE,REGION-4,SaturatedMixture,0.01087922919921552,0.0010245386629568717,198733.62195484387,1E-06,True,SaturatedMixture,47.32699131580722,0.01080326607556564,True,-0.13861394015412998,-7.596312364988034E-05
15,47.46560525596135,R4-VAPOR-SIDE,REGION-4,SaturatedMixture,0.01087922919921552,13.55241005126198,2439385.264723333,0.999999,True,SaturatedMixture,47.23069319817233,0.01075076148837156,True,-0.23491205778901758,-0.00012846771084396025
15,47.46560525596135,R2-SIDE,REGION-2,SuperheatedVapor,0.010879120406923529,13.552559638959671,2439387.5339378323,,True,SaturatedMixture,47.230484532311664,0.010750647956042084,False,-0.23512072364968617,-0.0001284724508814443
16,47.476804162561905,R1-SIDE,REGION-1,SubcooledLiquid,0.01088549525332102,0.001010992227136587,198778.18392889216,,True,SaturatedMixture,47.33813727269944,0.0108093573819037,False,-0.13866688986246345,-7.613787141732067E-05
16,47.476804162561905,R4-LIQUID-SIDE,REGION-4,SaturatedMixture,0.010885386399457025,0.0010245364291887338,198780.42456861885,1E-06,True,SaturatedMixture,47.33813480090248,0.010809356030730567,True,-0.13866936165942434,-7.603036872645859E-05
16,47.476804162561905,R4-VAPOR-SIDE,REGION-4,SaturatedMixture,0.010885386399457025,13.545199451739562,2439400.1503564734,0.999999,True,SaturatedMixture,47.24190912831341,0.010756865443259213,True,-0.23489503424849545,-0.00012852095619781193
16,47.476804162561905,R2-SIDE,REGION-2,SuperheatedVapor,0.010885277545593031,13.545348960031216,2439402.419548145,,True,SaturatedMixture,47.24170044643802,0.010756751846832488,False,-0.2351037161238878,-0.00012852569876054334
17,47.497136956453346,R1-SIDE,REGION-1,SubcooledLiquid,0.010896682061926422,0.0010110012654640185,198863.15910708203,,True,SaturatedMixture,47.35836945478684,0.010820421882899629,False,-0.1387675016665071,-7.626017902679326E-05
17,47.497136956453346,R4-LIQUID-SIDE,REGION-4,SaturatedMixture,0.01089657309619546,0.0010245323872015157,198865.39968888173,1E-06,True,SaturatedMixture,47.35836699236313,0.01082042053566666,True,-0.13876996409021558,-7.615256052879993E-05
17,47.497136956453346,R4-VAPOR-SIDE,REGION-4,SaturatedMixture,0.01089657309619546,13.53211915915857,2439427.176261054,0.999999,True,SaturatedMixture,47.26227285362785,0.010767955439540164,True,-0.2348641028254974,-0.00012861765665529538
17,47.497136956453346,R2-SIDE,REGION-2,SuperheatedVapor,0.010896464130464498,13.532268523404719,2439429.445411283,,True,SaturatedMixture,47.262064139723066,0.010767841725050773,False,-0.23507281673028046,-0.00012862240541372527
18,47.51263943389063,R1-SIDE,REGION-1,SubcooledLiquid,0.010905217934178663,0.0010110081586514573,198927.94738135702,,True,SaturatedMixture,47.37379523109195,0.010828864410322584,False,-0.13884420279867982,-7.635352385607953E-05
18,47.51263943389063,R4-LIQUID-SIDE,REGION-4,SaturatedMixture,0.010905108883089832,0.0010245293172617184,198930.18791899044,1E-06,True,SaturatedMixture,47.3737927638507,0.010828863059549132,True,-0.1388466700399249,-7.62458235407E-05
18,47.51263943389063,R4-VAPOR-SIDE,REGION-4,SaturatedMixture,0.010905108883089832,13.522156048740442,2439447.7813558136,0.999999,True,SaturatedMixture,47.27779894103185,0.010776417477749822,True,-0.23484049285877973,-0.00012869140534001004
18,47.51263943389063,R2-SIDE,REGION-2,SuperheatedVapor,0.010904999832001001,13.52230530326869,2439450.0504744514,,True,SaturatedMixture,47.27759020043601,0.010776303671937121,False,-0.23504923345461748,-0.00012869616006387988
19,47.514584347605705,R1-SIDE,REGION-1,SubcooledLiquid,0.010906289235178678,0.0010110090235827365,198936.0756075155,,True,SaturatedMixture,47.37573051567864,0.01082992399098924,False,-0.13885383192706513,-7.636524418943788E-05
19,47.514584347605705,R4-LIQUID-SIDE,REGION-4,SaturatedMixture,0.010906180173376944,0.0010245289328340477,198938.3161396078,1E-06,True,SaturatedMixture,47.37572806243793,0.010829922647767888,True,-0.13885628516777615,-7.625752560905599E-05
19,47.514584347605705,R4-VAPOR-SIDE,REGION-4,SaturatedMixture,0.010906180173376944,13.520906691899803,2439450.3664069385,0.999999,True,SaturatedMixture,47.27974681647606,0.010777479513322405,True,-0.23483753112964223,-0.0001287006600545395
19,47.514584347605705,R2-SIDE,REGION-2,SuperheatedVapor,0.01090607111157521,13.521055932669611,2439452.6355216135,,True,SaturatedMixture,47.27953807588034,0.010777365697873983,False,-0.2350462717253663,-0.00012870541370122758
20,47.54827588349582,R1-SIDE,REGION-1,SubcooledLiquid,0.010924861622134425,0.0010110240110843462,199076.88010523267,,True,SaturatedMixture,47.409255393612284,0.010848293216153826,False,-0.139020489883535,-7.656840598059891E-05
20,47.54827588349582,R4-LIQUID-SIDE,REGION-4,SaturatedMixture,0.010924752374610679,0.0010245222989431406,199079.12054133677,1E-06,True,SaturatedMixture,47.409252940239924,0.010848291870903321,True,-0.13902294325589537,-7.646050370735749E-05
20,47.54827588349582,R4-VAPOR-SIDE,REGION-4,SaturatedMixture,0.010924752374610679,13.499285335909022,2439495.145983517,0.999999,True,SaturatedMixture,47.313489740071134,0.010795891364773129,True,-0.23478614342468518,-0.00012886100983755013
20,47.54827588349582,R2-SIDE,REGION-2,SuperheatedVapor,0.010924643127086932,13.499434338575293,2439497.415029549,,True,SaturatedMixture,47.31328094626639,0.010795777353243038,False,-0.23499493722943043,-0.00012886577384389405
21,47.58362434357406,R1-SIDE,REGION-1,SubcooledLiquid,0.01094437658235262,0.0010110397445771177,199224.60944533683,,True,SaturatedMixture,47.44442904363217,0.010867594616342109,False,-0.13919529994188906,-7.678196601051089E-05
21,47.58362434357406,R4-LIQUID-SIDE,REGION-4,SaturatedMixture,0.010944267139681222,0.0010245153905887696,199226.84978072986,1E-06,True,SaturatedMixture,47.44442659276308,0.010867593270410444,True,-0.13919775081097896,-7.667386927077795E-05
21,47.58362434357406,R4-VAPOR-SIDE,REGION-4,SaturatedMixture,0.010944267139681222,13.476643527053664,2439542.1257676715,0.999999,True,SaturatedMixture,47.34889221629851,0.010815237794958545,True,-0.23473212727554937,-0.00012902934472267674
21,47.58362434357406,R2-SIDE,REGION-2,SuperheatedVapor,0.010944157697009826,13.476792280378454,2439544.3947417047,,True,SaturatedMixture,47.34868336913138,0.010815123578742668,False,-0.23494097444267936,-0.0001290341182671583
22,47.61869406104091,R1-SIDE,REGION-1,SubcooledLiquid,0.010963767237899734,0.0010110553630231244,199371.1740430867,,True,SaturatedMixture,47.47932536658976,0.010886772979489945,False,-0.13936869445115008,-7.699425840978873E-05
22,47.61869406104091,R4-LIQUID-SIDE,REGION-4,SaturatedMixture,0.01096365760132372,0.0010245085890189121,199373.41427856078,1E-06,True,SaturatedMixture,47.47932292451907,0.010886771636357224,True,-0.13937113652184507,-7.688596496649609E-05
22,47.61869406104091,R4-VAPOR-SIDE,REGION-4,SaturatedMixture,0.01096365760132372,13.454223549140501,2439588.733046207,0.999999,True,SaturatedMixture,47.38401563230968,0.010834461152152811,True,-0.2346784287312289,-0.00012919644917090863
22,47.61869406104091,R2-SIDE,REGION-2,SuperheatedVapor,0.010963547964747708,13.454372055566436,2439591.00194883,,True,SaturatedMixture,47.38380672657178,0.010834346729473834,False,-0.23488733446913557,-0.00012920123527387396
23,47.65354026705023,R1-SIDE,REGION-1,SubcooledLiquid,0.010983063530149202,0.001011070890823928,199516.80471940245,,True,SaturatedMixture,47.5139993336918,0.010905857928638124,False,-0.13954093335843254,-7.720560151107739E-05
23,47.65354026705023,R4-LIQUID-SIDE,REGION-4,SaturatedMixture,0.010982953700612195,0.0010245018823071429,199519.04485559225,1E-06,True,SaturatedMixture,47.513996897868424,0.01090585658692426,True,-0.13954336918180843,-7.709711368793573E-05
23,47.65354026705023,R4-VAPOR-SIDE,REGION-4,SaturatedMixture,0.010982953700612195,13.431989074243365,2439635.041263145,0.999999,True,SaturatedMixture,47.418915295029535,0.010853591112987584,True,-0.234624972020697,-0.00012936258762461135
23,47.65354026705023,R2-SIDE,REGION-2,SuperheatedVapor,0.01098284387107519,13.43213733581302,2439637.310094836,,True,SaturatedMixture,47.41870633929534,0.010853476489346559,False,-0.23483392775489165,-0.00012936738172863137
24,47.68824782669549,R1-SIDE,REGION-1,SubcooledLiquid,0.01100231203510302,0.0010110863656551618,199661.8561439643,,True,SaturatedMixture,47.548535377689404,0.010924895524156424,False,-0.13971244900608326,-7.741651094659609E-05
24,47.68824782669549,R4-LIQUID-SIDE,REGION-4,SaturatedMixture,0.011002202013082888,0.0010244952532255653,199664.09618126275,1E-06,True,SaturatedMixture,47.548532947509216,0.01092489418354403,True,-0.1397148791862719,-7.730782953885816E-05
24,47.68824782669549,R4-VAPOR-SIDE,REGION-4,SaturatedMixture,0.011002202013082888,13.409885198924252,2439681.1632284275,0.999999,True,SaturatedMixture,47.45367620936332,0.010872673856256008,True,-0.2345716173321648,-0.0001295281568268799
