lane,run_index,boundary_index,boundary_temperature_c,sample_count,median_us,p95_us,max_us,max_pass_index,max_row_index,calls_over_max_ceiling,exceedance_fraction,calls_with_gc_activity,exceedances_with_gc_activity,nonzero_allocation_calls,fallback_calls
A,5,124,269.49399043321625,64,5.3,5.3,5.5,3,124,0,0,0,0,0,0
A,5,125,269.5075922548773,64,5.3,5.4,6.3,52,125,0,0,0,0,0,0
A,5,126,269.512844836712,64,5.3,5.4,5.5,3,126,0,0,0,0,0,0
A,5,127,269.5298897445201,64,5.3,5.4,5.5,3,127,0,0,0,0,0,0
A,5,128,269.53180425763105,64,5.25,5.4,5.6,3,128,0,0,0,0,0,0
A,5,129,269.53814047574997,64,5.3,5.4,9,5,129,0,0,0,0,0,0
A,5,130,269.55084462165814,64,5.3,5.4,8.7,7,130,0,0,0,0,0,0
A,5,131,269.5699443995951,64,5.3,5.4,8.8,9,131,0,0,0,0,0,0
A,5,132,269.5759793758393,64,5.3,5.4,6,11,132,0,0,0,0,0,0
A,5,133,269.58908331394184,64,5.3,5.3,5.6,3,133,0,0,0,0,0,0
A,5,134,269.60824417471883,64,5.3,5.4,5.5,3,134,0,0,0,0,0,0
A,5,135,269.6106666266918,64,5.3,5.4,5.6,3,135,0,0,0,0,0,0
A,5,136,269.627409541607,64,5.3,5.5,6.6,38,136,0,0,0,0,0,0
A,5,137,269.644376009703,64,5.3,5.4,5.5,0,137,0,0,0,0,0,0
A,5,138,269.6465640187264,64,5.3,5.4,5.6,3,138,0,0,0,0,0,0
A,5,139,269.665693461895,64,5.3,5.4,5.5,3,139,0,0,0,0,0,0
A,5,140,269.67791057229067,64,5.3,5.4,5.6,3,140,0,0,0,0,0,0
A,5,141,269.6847838103771,64,5.3,5.4,5.6,3,141,0,0,0,0,0,0
A,5,142,269.69983050823214,64,5.3,5.4,5.5,3,142,0,0,0,0,0,0
A,5,143,269.7038233816626,64,5.3,5.4,5.6,3,143,0,0,0,0,0,0
A,5,144,269.7115400552751,64,5.3,5.3,5.6,3,144,0,0,0,0,0,0
A,5,145,269.7228007018567,64,5.3,5.4,5.6,3,145,0,0,0,0,0,0
A,5,146,269.7417052984239,64,5.3,5.4,5.6,3,146,0,0,0,0,0,0
A,5,147,269.74532633423803,64,5.3,5.4,5.6,3,147,0,0,0,0,0,0
A,5,148,269.7605286598206,64,5.3,5.4,8.9,22,148,0,0,0,0,0,0
A,5,149,269.77926023006455,64,5.3,5.3,5.6,3,149,0,0,0,0,0,0
A,5,150,269.7792617738247,64,5.3,5.4,22.3,30,150,0,0,0,0,0,0
A,5,151,269.7978978395462,64,5.3,5.4,5.8,30,151,0,0,0,0,0,0
A,5,152,269.81331082582483,64,5.3,5.4,5.6,3,152,0,0,0,0,0,0
A,5,153,269.81642926335314,64,5.3,5.4,8.3,24,153,0,0,0,0,0,0
A,5,154,269.8348390221596,64,5.3,5.6,8.5,26,154,0,0,0,0,0,0
A,5,155,269.8474434912206,64,5.25,5.4,8.4,4,155,0,0,0,0,0,0
A,5,156,269.85314221978194,64,5.3,5.4,6.5,4,156,0,0,0,0,0,0
