boundary_index,boundary_temperature_c,process_runs_with_exceedance,total_calls_over_max_ceiling,total_exceedances_with_gc_activity,cross_process_max_us,max_owner_process_run_index,same_boundary_slow_path_confirmed
210,270.7052416622638,0,0,0,35.3,2,False
211,270.72312278747552,0,0,0,62.6,2,False
212,270.72345995306989,0,0,0,135.9,3,False
213,270.75249078273771,0,0,0,20.5,1,False
214,270.75390186309812,0,0,0,18,1,False
215,270.78118436336524,0,0,0,19.6,5,False
216,270.80307684540742,0,0,0,207.2,3,False
217,270.80531049966817,0,0,0,79.7,5,False
218,270.85275713801377,0,0,0,108.6,1,False
219,270.90280864238741,0,0,0,16.4,1,False
220,270.9531313061716,0,0,0,12.7,4,False
221,271.00374035835273,0,0,0,58.6,1,False
222,271.05448947548859,0,0,0,39.5,2,False
223,271.10538116097439,0,0,0,147.8,4,False
224,271.15636810064314,0,0,0,63.1,2,False
225,271.20735141038915,0,0,0,204.1,5,False
226,271.2583651363849,0,0,0,39.9,5,False
227,271.30930776596063,0,0,0,16,3,False
228,271.36016235947625,0,0,0,13.7,5,False
229,271.41092512011539,0,0,0,109.5,5,False
230,271.46150371432316,0,0,0,21.5,5,False
231,271.51193360686295,0,0,0,13.4,3,False
232,271.56215500831593,0,0,0,44.6,1,False
233,271.6121370434762,0,0,0,105.7,3,False
234,271.66190503835685,0,0,0,90.3,3,False
235,271.71136682629583,0,0,0,180.5,1,False
236,271.76054902672774,0,0,0,16.9,4,False
237,271.80945309996594,0,0,0,192.5,4,False
238,271.85805572271363,0,0,0,38.3,4,False
239,271.90634704828267,0,0,0,17.3,5,False
240,271.95431818962084,0,0,0,11.9,4,False
241,272.00196151137345,0,0,0,25.2,1,False
242,272.04927046298974,0,0,0,28.6,5,False
243,272.09623962044714,0,0,0,245.8,5,False
244,272.14286439418822,0,0,0,46.8,3,False
245,272.18914115428936,0,0,0,13.3,3,False
246,272.23506702184693,0,0,0,13.2,4,False
247,272.28064007759087,0,0,0,22.8,2,False
248,272.32585906982433,0,0,0,45,5,False
249,272.37072358131411,0,0,0,64.9,3,False
250,272.41523357033736,0,0,0,131.9,4,False
251,272.45532531738286,0,0,0,14.2,4,False
252,272.48579555749882,0,0,0,39,5,False
253,273.6084401816131,0,0,0,130.6,2,False
254,273.62155281901357,0,0,0,152.4,3,False
255,273.68795581161976,0,0,0,15.5,3,False
256,273.81530270576468,0,0,0,15.4,4,False
257,273.84035230278926,0,0,0,21.3,5,False
258,273.96743665337556,0,0,0,91.1,5,False
259,274.13515644669531,0,0,0,11.1,2,False
260,274.31609875559809,0,0,0,32,3,False
261,274.49033025503138,0,0,0,36.2,3,False
262,274.66211806535716,0,0,0,81.5,2,False
263,274.83064057230956,0,0,0,85.6,1,False
264,274.99430436491969,0,0,0,34.2,1,False
265,275.15273906588538,0,0,0,16.8,4,False
266,275.18437054753292,0,0,0,32,5,False
267,275.18437056839457,0,0,0,12.8,4,False
268,275.18437058925622,0,0,0,115,5,False
269,275.26000683307655,0,0,0,11.4,4,False
270,275.3103550732136,0,0,0,64,3,False
271,275.46072360575204,0,0,0,26.5,3,False
272,275.60508407354359,0,0,0,16.2,3,False
273,275.74955815374858,0,0,0,17.5,4,False
274,275.80480927228928,0,0,0,29.9,1,False
275,275.8487251222133,0,0,0,14.5,4,False
276,275.95865174531946,0,0,0,20.9,5,False
277,276.1304154813289,0,0,0,31.3,2,False
278,276.3073304116723,0,0,0,104.3,2,False
279,276.49290496110916,0,0,0,13.5,4,False
280,276.68489103913305,0,0,0,16.8,4,False
281,276.88175147771847,0,0,0,17.7,4,False
282,277.08361328244189,0,0,0,15.9,4,False
283,277.28852211534956,0,0,0,39.3,3,False
284,277.49655589461338,0,0,0,12.6,4,False
285,277.70717749595633,0,0,0,64.2,2,False
286,277.91910545229928,0,0,0,67.6,3,False
287,278.13301288485525,0,0,0,35.7,5,False
288,278.34757220149038,0,0,0,12.2,4,False
289,278.56269953846925,0,0,0,68,2,False
290,278.77853245735173,1,1,0,817.7,4,False
291,278.99378421306585,0,0,0,59.8,1,False
292,279.20919802188894,0,0,0,14.9,1,False
293,279.42397137880334,0,0,0,19.1,4,False
294,279.63773699402816,0,0,0,19.2,3,False
295,279.85106822848309,0,0,0,11.6,2,False
296,280,0,0,0,9.6,4,False
297,280.0627813100815,0,0,0,14.1,5,False
298,280.27348619103429,0,0,0,21.9,4,False
299,280.48288751244525,0,0,0,21.3,5,False
300,280.69031586647031,0,0,0,15.1,3,False
301,280.89631503224348,0,0,0,101.2,2,False
302,281.10068123340591,0,0,0,142,2,False
303,281.30328804850581,0,0,0,18.7,3,False
304,281.50406717658041,0,0,0,48.2,3,False
305,281.70296007990862,0,0,0,33.3,3,False
306,281.8999184429648,0,0,0,13.7,4,False
307,282.0949025034904,0,0,0,13,3,False
308,282.28788021802904,0,0,0,18.4,5,False
309,282.47882638573662,0,0,0,25.8,2,False
310,282.66772218942663,0,0,0,13,5,False
311,282.85455999374392,0,0,0,16.3,3,False
312,283.03934067487717,0,0,0,81.2,3,False
313,283.22206911444653,0,0,0,142.9,3,False
314,283.40275340676328,0,0,0,51.4,3,False
315,283.581404775381,0,0,0,10.9,1,False
316,283.75422302484503,0,0,0,14.9,3,False
317,283.8935488522053,0,0,0,12.7,4,False
318,300,0,0,0,13.8,3,False
319,340,0,0,0,10,1,False
