boundary_index,boundary_temperature_c,probe_side,reference_region,reference_phase,reference_temperature_c,reference_pressure_mpa,reference_quality,production_resolved,production_phase,production_temperature_c,production_pressure_mpa,production_quality,phase_matches,production_minus_reference_temperature_c,production_minus_reference_pressure_mpa,is_finite,boundary_max_liquid_pressure_jump_mpa,boundary_max_liquid_temperature_jump_c,boundary_max_vapor_pressure_jump_mpa,boundary_max_vapor_temperature_jump_c
256,273.8153027057647,R1-SIDE,REGION-1,SubcooledLiquid,273.8153027057647,5.838875354157347,,true,SubcooledLiquid,273.8152140016582,5.839147988897757,,true,-8.870410647432436E-05,0.00027263474041028246,true,0.0005137228525280736,3.5596193356468575E-05,0.00026625516826150886,0.001903154074568647
256,273.8153027057647,R4-LIQUID-SIDE,REGION-4,SaturatedMixture,273.8153027057647,5.838816965987687,1E-06,true,SaturatedMixture,273.81524055994475,5.838842246823725,9.769491005832012E-07,true,-6.214581992480817E-05,2.5280836037921972E-05,true,0.0005137228525280736,3.5596193356468575E-05,0.00026625516826150886,0.001903154074568647
256,273.8153027057647,R4-VAPOR-SIDE,REGION-4,SaturatedMixture,273.8153027057647,5.838816965987687,0.999999,true,SaturatedMixture,273.81586539161947,5.8388984778754445,0.9999997728187918,true,0.0005626858547884694,8.151188775773477E-05,true,0.0005137228525280736,3.5596193356468575E-05,0.00026625516826150886,0.001903154074568647
256,273.8153027057647,R2-SIDE,REGION-2,SuperheatedVapor,273.8153027057647,5.8387585778180275,,true,SuperheatedVapor,273.8144482997136,5.838740058475687,,true,-0.0008544060510757845,-1.8519342340539424E-05,true,0.0005137228525280736,3.5596193356468575E-05,0.00026625516826150886,0.001903154074568647
257,273.84035230278926,R1-SIDE,REGION-1,SubcooledLiquid,273.84035230278926,5.841131753297155,,true,SubcooledLiquid,273.8402681664237,5.841384451377227,,true,-8.413636555815174E-05,0.00025269808007166716,true,0.0005137228525280736,3.5596193356468575E-05,0.00026625516826150886,0.001903154074568647
257,273.84035230278926,R4-LIQUID-SIDE,REGION-4,SaturatedMixture,273.84035230278926,5.841073342563729,1E-06,true,SaturatedMixture,273.84029429401846,5.841096930562252,9.784809020989565E-07,true,-5.80087707930943E-05,2.358799852331117E-05,true,0.0005137228525280736,3.5596193356468575E-05,0.00026625516826150886,0.001903154074568647
257,273.84035230278926,R4-VAPOR-SIDE,REGION-4,SaturatedMixture,273.84035230278926,5.841073342563729,0.999999,true,SaturatedMixture,273.8408772120548,5.8411493896413464,0.9999997211451388,true,0.0005249092655503773,7.604707761732499E-05,true,0.0005137228525280736,3.5596193356468575E-05,0.00026625516826150886,0.001903154074568647
257,273.84035230278926,R2-SIDE,REGION-2,SuperheatedVapor,273.84035230278926,5.841014931830304,,true,SuperheatedVapor,273.83949713686445,5.840996306554203,,true,-0.0008551659248041688,-1.8625276100969756E-05,true,0.0005137228525280736,3.5596193356468575E-05,0.00026625516826150886,0.001903154074568647
258,273.96743665337556,R1-SIDE,REGION-1,SubcooledLiquid,273.96743665337556,5.852589422274065,,true,SubcooledLiquid,273.9673984942683,5.852642776335492,,true,-3.815910724824789E-05,5.335406142759069E-05,true,0.0005137228525280736,3.5596193356468575E-05,0.00026625516826150886,0.001903154074568647
258,273.96743665337556,R4-LIQUID-SIDE,REGION-4,SaturatedMixture,273.96743665337556,5.852530896965095,1E-06,true,SaturatedMixture,273.96742039314074,5.852537506549328,9.939532071148703E-07,true,-1.626023481549055E-05,6.609584232819543E-06,true,0.0005137228525280736,3.5596193356468575E-05,0.00026625516826150886,0.001903154074568647
258,273.96743665337556,R4-VAPOR-SIDE,REGION-4,SaturatedMixture,273.96743665337556,5.852530896965095,0.999999,true,SaturatedMixture,273.9675835529281,5.852552189938164,0.9999992021504915,true,0.00014689955253288645,2.129297306918687E-05,true,0.0005137228525280736,3.5596193356468575E-05,0.00026625516826150886,0.001903154074568647
