step,electrical_mwe,primary_pump_kg_s,drum_level,governor_percent,trip_active,breaker_closed,rollbacks,finite,in_envelope
39,4.9988802591586055,99.76540777038021,0.49987015496300125,29.335059259965476,false,true,0,true,false
40,4.998823090919003,99.75882187499367,0.4998658092223679,29.3368013408835,false,true,0,true,false
41,4.998764552804386,99.75217082693464,0.4998613917900493,29.3385542073512,false,true,0,true,false
42,4.998704651383664,99.74545769806211,0.49985690539823197,29.34031754640999,false,true,0,true,false
43,4.998643393294498,99.73868279971059,0.49985235254266625,29.342090967296457,false,true,0,true,false
44,4.998580785690029,99.73184775200964,0.4998477357350356,29.343873783016992,false,true,0,true,false
45,4.998516835782876,99.72495484228479,0.49984305731515055,29.34566560513777,false,true,0,true,false
46,4.998451551145006,99.7180046486244,0.49983831966152803,29.347465850191856,false,true,0,true,false
47,4.998384939532857,99.71099913815323,0.4998335249089175,29.34927404788885,false,true,0,true,false
48,4.998317008914876,99.7039390616825,0.4998286752662704,29.35108970629262,false,true,0,true,false
49,4.998247767178341,99.69682611229602,0.4998237728050672,29.3529125383723,false,true,0,true,false
50,4.998177222823222,99.68966176055844,0.49981881954143564,29.354741800842017,false,true,0,true,false
51,4.998105384405627,99.68244670593059,0.4998138173607714,29.356577109051255,false,true,0,true,false
52,4.998032260646722,99.67518219407437,0.4998087682039528,29.35841800977807,false,true,0,true,false
53,4.997957860339465,99.66786990486578,0.4998036738816391,29.36026411658539,false,true,0,true,false
54,4.997882192573534,99.6605104533562,0.4997985360782713,29.362114898433767,false,true,0,true,false
55,4.9978052666544395,99.65310525408772,0.4997933565403798,29.36396987499471,false,true,0,true,false
56,4.997727092028195,99.64565500885332,0.49978813689050305,29.365828619649616,false,true,0,true,false
57,4.9976476784781845,99.63816143807531,0.4997828787080838,29.36769057114606,false,true,0,true,false
58,4.997567035648437,99.63062487482459,0.4997775835072165,29.369555483495464,false,true,0,true,false
59,4.997485173358843,99.6230463752606,0.4997722528130814,29.371422920195016,false,true,0,true,false
60,4.99740210202317,99.61542726279615,0.4997668879812922,29.373292157979993,false,true,0,true,false
61,4.997317831794657,99.60776834119261,0.49976149043953744,29.37516303450427,false,true,0,true,false
62,4.997232373101596,99.60006995600105,0.49975606149903945,29.377035048639367,false,true,0,true,false
63,4.997145736690624,99.59233397682706,0.49975060248921077,29.378907662018303,false,true,0,true,false
64,4.997057933154044,99.58456054831834,0.49974511460125104,29.380780651834762,false,true,0,true,false
65,4.996968973383513,99.576750597669,0.49973959909973037,29.3826535036932,false,true,0,true,false
66,4.9968788683955525,99.5689048848869,0.4997340571144572,29.38452581716645,false,true,0,true,false
67,4.996787629380972,99.56102424125436,0.4997284897971833,29.386397158182408,false,true,0,true,false
68,4.996695267505493,99.55311006290417,0.4997228982181226,29.388267234826095,false,true,0,true,false
69,4.996601794496036,99.54516210811899,0.4997172834223201,29.390135359474638,false,true,0,true,false
