step,presentation_fingerprint,trigger,committed,rollback,unsafe_commit,fallback_commit_violation,historical_predictor_fluid_nodes_reused,historical_predictor_fluid_nodes_total,shadow_iterations,engine_us,engine_alloc_bytes,orchestrator_us,orchestrator_alloc_bytes,explicit_preparation_us,explicit_preparation_alloc_bytes,sidecar_us,sidecar_alloc_bytes,predictor_us,predictor_alloc_bytes,corrector_us,corrector_alloc_bytes,disagreement_scan_us,disagreement_scan_alloc_bytes,authority_us,authority_alloc_bytes,commit_accounting_us,commit_accounting_alloc_bytes,h9_total_us,h9_total_alloc_bytes,h9_layout_us,h9_layout_alloc_bytes,h9_initial_residual_us,h9_initial_residual_alloc_bytes,h9_jacobian_build_us,h9_jacobian_build_alloc_bytes,h9_newton_line_search_us,h9_newton_line_search_alloc_bytes,h9_residual_fallback_us,h9_residual_fallback_alloc_bytes,h9_other_us,h9_other_alloc_bytes,probe_applied_fluid_nodes_reused,probe_applied_fluid_nodes_total,probe_mapped_fluid_nodes_reused,probe_mapped_fluid_nodes_total,hydraulic_evaluations,probe_evaluations,max_jacobian_dimension,jacobian_build_attempts,jacobian_direction_acceptances,jacobian_rejected,residual_fallback_attempts,residual_fallback_acceptances,backtracking_trials
24,f73b94700c401d8ad670ad9565947f91d6343bbaebec35912eb23af1b08ef322,False,False,False,False,False,11,12,0,7626.6000000000004,322752,7134.1999999999998,53944,7018.8999999999996,21872,96,19264,94.799999999999997,19088,0,0,0,0,0.20000000000000001,40,17.800000000000001,12504,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
25,c7a83d9a1599b35f4f635c2df5bc3f60aaddc2b40d31e2a5de130fb23fdd383b,False,False,False,False,False,10,12,0,7712.3000000000002,322888,7220.8999999999996,54072,7044.8999999999996,21872,149.40000000000001,19392,148.19999999999999,19216,0,0,0,0,0.29999999999999999,40,25.199999999999999,12504,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
26,c5d0e26d0ef782ed2b5474745d82b4d48b980ec250a0b2648ad8385448e5b0fd,False,False,False,False,False,11,12,0,7695.8000000000002,322752,7165.6000000000004,53944,7040.1999999999998,21872,100.7,19264,99.599999999999994,19088,0,0,0,0,0.29999999999999999,40,23.199999999999999,12504,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
27,bbbf13a79e94ff268cbc4a352615c5b1b87c5d6397aeee5ab5f6131b1703f929,False,False,False,False,False,10,12,0,7764.6999999999998,322888,7225.6999999999998,54072,7056.1999999999998,21872,149.09999999999999,19392,147.69999999999999,19216,0,0,0,0,0.20000000000000001,40,18.699999999999999,12504,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
28,043102df8063304e21770cad7717bc1120478bbc5d94c560b3a14209cef1d58e,False,False,False,False,False,11,12,0,7699.8000000000002,322752,7167,53944,7048,21872,97.599999999999994,19264,96.299999999999997,19088,0,0,0,0,0.20000000000000001,40,19.300000000000001,12504,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
29,a4fe831464db8aa80a6e357be93806499f3dcf0b7ff08af1c75f0d0481d80fee,False,False,False,False,False,11,12,0,7676.8000000000002,322752,7150.8999999999996,53944,7035.8999999999996,21872,95.799999999999997,19264,94.5,19088,0,0,0,0,0.20000000000000001,40,17.600000000000001,12504,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
30,7e4dc3f5e8905c0d03407f85c8d0b6c012cb58a909147b6710f28f21372da542,False,False,False,False,False,10,12,0,7694.6999999999998,322872,7200.5,54072,7038.3000000000002,21872,143,19392,141.80000000000001,19216,0,0,0,0,0.29999999999999999,40,17.600000000000001,12504,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
31,513fe8290b8e42cddfc325c2ff6420dda168a1833087c6222069a869e7101645,False,False,False,False,False,10,12,0,7696.3000000000002,322880,7215.6999999999998,54072,7054.5,21872,144.5,19392,143.30000000000001,19216,0,0,0,0,0.29999999999999999,40,15.300000000000001,12504,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
32,e097563e98633479ad524ea48392b6a5af65a5380c5c948ff0a3082dae09478d,False,False,False,False,False,10,12,0,7715,322880,7223.1999999999998,54072,7063.8000000000002,21872,142.90000000000001,19392,141.69999999999999,19216,0,0,0,0,0.29999999999999999,40,15.1,12504,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
33,3bdba30c3dfc19b64f1bd8f3f1c79c072fd5a6ec2206048ec7ce36b53ef6120b,False,False,False,False,False,10,12,0,7709.6000000000004,322888,7216.1000000000004,54072,7055.3999999999996,21872,144.40000000000001,19392,143.19999999999999,19216,0,0,0,0,0.29999999999999999,40,14.9,12504,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
34,9472f6fd40ab2e74265811db5fc1d248488f999fc838d4ac9c0b8fbee6763f85,False,False,False,False,False,10,12,0,7702.8999999999996,322880,7224.3000000000002,54072,7060.8999999999996,21872,147.80000000000001,19392,146.5,19216,0,0,0,0,0.29999999999999999,40,14.4,12504,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
35,ab19a70746ff1b5791a910cee904e08b572a35fd0ed6badbb0e6f38b5137c591,False,False,False,False,False,10,12,0,7675.8000000000002,322888,7202.1999999999998,54072,7042.3999999999996,21872,143.5,19392,142.30000000000001,19216,0,0,0,0,0.20000000000000001,40,15,12504,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
36,d929a8e5f039ea7c48b87b9da1a754b73d6f42287400b81cafde2b80348beec6,False,False,False,False,False,10,12,0,7693,322880,7218.6000000000004,54072,7059.3000000000002,21872,142.5,19392,141.30000000000001,19216,0,0,0,0,0.29999999999999999,40,15.699999999999999,12504,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
