step,presentation_fingerprint,trigger_observed,corrected_committed,rollback_required,unsafe_commit,fallback_commit_violation,shadow_iterations,engine_us,engine_alloc_bytes,predictor_us,predictor_alloc_bytes,corrector_us,corrector_alloc_bytes,h9_total_us,h9_total_alloc_bytes,h9_jacobian_us,h9_jacobian_alloc_bytes,h9_line_search_us,h9_line_search_alloc_bytes,probe_applied_reused,probe_applied_total,probe_mapped_reused,probe_mapped_total,probe_hydraulic_components_reused,probe_hydraulic_components_total,hydraulic_evaluations,probe_evaluations,max_jacobian_dimension
41,9032fb60ea0d8099888f6d2cf13f04c1c39d47d933f3d981ad96a45299a8168a,False,False,False,False,False,0,7617.6000000000004,323120,143,19440,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
42,17e81307cced1d1c99b8bf995cf6c1408cb7aecde14e33aebacddd35c09ec57e,False,False,False,False,False,0,7591.6999999999998,323112,173.90000000000001,19440,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
43,b58d2b6e160704d7660a3e35d4db4667f6861c80a1b2279efc7cf4b2521a79a6,False,False,False,False,False,0,7542.1000000000004,322992,90.900000000000006,19312,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
44,c8b9c6aba11da58f629e21764602c3956c599da7f58a5466017e6d41b5482a46,False,False,False,False,False,0,7525.6999999999998,324368,91.799999999999997,19312,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
45,87d8c44ef36fa0b5f68e57243cdf3cca0cf2c0d8e98159ad7a1f29dbee309148,False,False,False,False,False,0,7602.1000000000004,323120,139.19999999999999,19440,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
46,aad3fea8c440ad11433448d078dc6de1cb0c56985f8b1dafa10f8eb25beca42e,False,False,False,False,False,0,7533.6999999999998,324368,94.099999999999994,19312,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
47,aa84c9cf5fb5ae70ff291151dcb2b860910f74070f441ddda09a48fdd363c1f6,False,False,False,False,False,0,7673.1999999999998,323120,141.90000000000001,19440,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
48,cca7e5add17b01272372887f475134a1f03e00f374dfb8b07e0ec09e47733116,False,False,False,False,False,0,7645.8000000000002,322984,97.200000000000003,19312,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
49,2e3aabbed4eae129bae5c49279bd1e7bd59f5997c6f138bb5e3b3f4cc3477a95,False,False,False,False,False,0,7638.6999999999998,323120,140.59999999999999,19440,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
50,0c2084e913a9ec5bdb61c131189ff76bdc7505e76b998bfaa8c9f3fa918e58cb,False,False,False,False,False,0,7452.3999999999996,322984,91.200000000000003,19312,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
51,ea49cf3901822ea7e0b0f9747c4001c593e3f7fe7b75ac3c65c29f6ed9ac999b,False,False,False,False,False,0,7519.6999999999998,323120,134.80000000000001,19440,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
52,2f84a39f0b69611075a3eea9ead6c544a8f6c1a02d55b8f5d86c76e5dc16695c,False,False,False,False,False,0,7465,322984,93.5,19312,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
53,24fe633ea9d584e4973692c36284056676a6ec5b98f8cb8b2aa852344092cfed,False,False,False,False,False,0,7492.5,323120,135.59999999999999,19440,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
54,09cffdad22a575c3b85ca05d9849237f20a41f5800834b8c29893319aa8ff396,False,False,False,False,False,0,7453.3999999999996,322984,92.799999999999997,19312,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
55,86701c50758c56b8de1c47f3620aab3a3e938d7ef179158f7dbd39e21f2d7a84,False,False,False,False,False,0,7495.1999999999998,323120,141.90000000000001,19440,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
56,c0e0f155047510ad4874c4aa29356846d7a201412f1d83fc8a2f9faab5c076c3,False,False,False,False,False,0,7622.8999999999996,322984,97.900000000000006,19312,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
57,e26b91db09830de0b0165e7b4ae7995a65bc3eb316a26ebe3265e89fe7f702f6,False,False,False,False,False,0,7641.6000000000004,322992,93.400000000000006,19312,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
58,6059d0fda609206df2d3f4492f0dd70f83d8bd473553a7dac5dcd1ffbfb76ad9,False,False,False,False,False,0,7518.3999999999996,323112,139.69999999999999,19440,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
59,cc456406203dc7deabac107c67f9d2efc244ce31f52d75c4e93133b1e978bb58,False,False,False,False,False,0,7471,322992,93,19312,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
60,d37122dbd8c49e06f41ff557eb5b1c0c5d2245706596fc37a4ac65d6b2e4d49c,False,False,False,False,False,0,7452.6999999999998,322984,115.59999999999999,19312,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
61,a0651d6c4255998ba35e014b9b3a230fe749e61552400b1d4770fc3a467377ff,False,False,False,False,False,0,7490.5,323120,140.5,19440,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
62,6f37ddf710e4c758f56866cdfb2fa82b970a3065eaf77fd5e47196502f08795d,False,False,False,False,False,0,7416.8999999999996,322984,91,19312,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
63,d6e68adfa66d8c742ba341cb02066f34b96eb116fa04f806ef5d43ac87a09b8b,False,False,False,False,False,0,7461.6000000000004,322992,94,19312,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
64,e2e42eae2cc40aae26bbcbab84ad1f17c43db4bd90a76b1e0f4388fa6d5748bf,False,False,False,False,False,0,7808.8999999999996,323112,156.5,19440,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
65,2619e9e4b4784236eec330597f71e5c904e2f2ae5955f341402b0b9514c992b5,False,False,False,False,False,0,7729.6000000000004,323200,95.299999999999997,19312,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
66,bfd913aa132fc985fe688afed3f40632794300cc2bca65235021a1276a58aacf,False,False,False,False,False,0,7531.3000000000002,323192,91.900000000000006,19312,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
67,6f958597f181d0a0e60209ea938e3cdd33c42e8d9fea903c58e188309712dada,False,False,False,False,False,0,7427.1999999999998,322992,90.5,19312,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
68,0c39e53db6898a1361f0bded0f4b19bf597ec321a7a7780a8590f5230d46c356,False,False,False,False,False,0,7436,322984,92.200000000000003,19312,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
69,46c79a7dad579811d4aae564c8dc873017369913a1a90f36416bbfb5fda3aaa2,False,False,False,False,False,0,7456.3999999999996,322992,92.799999999999997,19312,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
70,71dacd97fafc282433ed1104d87659f2386a1d947c9c887122ee7dc1a9fab8e2,False,False,False,False,False,0,7412.6000000000004,322992,94,19312,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
71,62ab4a0dca180316c1138722f4e9a0e5a357ea180ffcb6600f137010b1f5cca4,False,False,False,False,False,0,7493.8999999999996,323000,96.400000000000006,19312,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
72,223d9b355859d81aa0cc70ecf63df62acd75f3789c0aee29607b19f312b3f66a,False,False,False,False,False,0,7494.6000000000004,322992,92.5,19312,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
73,40c512b695f3218dcac6738099f415c6b16b6a5527e9b8dbd49e18bf3b9c8778,False,False,False,False,False,0,8591.8999999999996,324008,97.299999999999997,19312,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
74,80affe23f3d1d746e6891bf576463be849919c6a432ee9cdc7a735a7646883e7,False,False,False,False,False,0,7557.3999999999996,324624,92.299999999999997,19312,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
75,bb684073217f4dd4a6a4e984782990a520f79142693ecac849d468b5f9abe0ef,False,False,False,False,False,0,7518.1999999999998,323128,168.59999999999999,19440,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
76,eb0c131981802c9c250cd3ef94ce74a80a39b8310b9508f25aa4416475662773,False,False,False,False,False,0,7382.8000000000002,322992,85.799999999999997,19312,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
77,52244edad9f8bfc51eecd9c111d57f97406289d84f456c7d847ed12dd5da6bb6,False,False,False,False,False,0,7420.1000000000004,323000,92.5,19312,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
78,1144f0bb3046974a1bd7270d73e8550f84dcd15657046489560d0e10df18d147,False,False,False,False,False,0,7384.3000000000002,322992,90.700000000000003,19312,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
79,8b7bdb2db37b0fb3cc9b05df473987141e34ab28cacd6a801a2d45481d5d4f9f,False,False,False,False,False,0,7398.3000000000002,323000,97.799999999999997,19312,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
80,c61070b4afee71c97deb924072b532cdfb76653c46bcf5feeb4b0fcf7739b1df,False,False,False,False,False,0,7531.8000000000002,323120,140.40000000000001,19440,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
81,e28796f7d956ce2f670ced9569319b6ac2576896e9908207f3580e0554c12dc7,False,False,False,False,False,0,7507.8000000000002,323000,94.200000000000003,19312,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
82,95bfe3d38ecc865d10884c47ed2aa9739658a08bcff8b66fc932f63ff9608e77,False,False,False,False,False,0,7698.6000000000004,323120,141.69999999999999,19440,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
83,cbf0979610b159d92764823eefc2488ecde70f54845d0b5506f28c447d9e1379,False,False,False,False,False,0,7495.8999999999996,323000,90.400000000000006,19312,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
84,20c4ba086c6baf696b9a74a0820473834d485e495c5b49b4e5e04ef824c977d5,False,False,False,False,False,0,7456.6000000000004,322992,88.400000000000006,19312,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
85,4a223cf479fd6052adc4ca1d58a1f1891f180f43ac52bff9c073740ba451cc43,False,False,False,False,False,0,7425.6999999999998,323000,92.799999999999997,19312,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
86,8a01f9605398a12e4fc515a26d6d6909b04a19943af5d74930c77b6bbeef944c,False,False,False,False,False,0,7474.5,324504,139.40000000000001,19440,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
87,63fcf650fc72a33f6ac3ad2180f9f318eaaa3f2f5f50bd7b47652de700e6cda6,False,False,False,False,False,0,7501.5,323128,140.30000000000001,19440,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
88,00771184bbbac072740b73de50acaba2627e60720e9c58e1cd9ad9a934c39991,False,False,False,False,False,0,7681.8000000000002,323120,142.80000000000001,19440,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
89,0924381dc8b3e1ab3b5482843a7cf188e8d7900db97c9215f87dcd55b6066f66,False,False,False,False,False,0,7518.5,324384,95.299999999999997,19312,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
90,294155b2f9228ebb8afca4850d850c58913d4d8a6c6cc3f34944e1250b506ad0,False,False,False,False,False,0,7784.5,322992,100.09999999999999,19312,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
91,634feccfece24aa6b2ea50f7dc4afe2d32411fa7f3557c2792c3d6da522daffd,False,False,False,False,False,0,7651.1999999999998,323000,97.299999999999997,19312,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
92,1840fb42b258cd1fc14a2edc08d2be0480e80a8b820b253e8f6ee8c6d975f79a,False,False,False,False,False,0,7509.8000000000002,322992,91,19312,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
93,8ac9de833981d275262e57d7be7a70b6f077971fc232c844e330245d1df28839,False,False,False,False,False,0,7519.3000000000002,323128,139.19999999999999,19440,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
94,0474a884d56000bb5960e86b41f2e6f742ea397530aa017092532aa2bacb7aa0,False,False,False,False,False,0,7529.3999999999996,323120,140.30000000000001,19440,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
95,c6df352e4e7d6edec749c37bdb82d88e5c1980e3ad991e9f88b4f3b2b6aee66b,False,False,False,False,False,0,7544.8000000000002,323128,142.59999999999999,19440,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
96,e80e27ff8e7eb3329070bab58bbea5430d5c454383a916811385c1199c48b7b6,False,False,False,False,False,0,7435.6999999999998,322992,90.799999999999997,19312,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
97,9c89389c83ef9684b9a7f7ca5bd54cedb09fbd4cafff6cdf5276e303677e97e4,False,False,False,False,False,0,7607.1999999999998,323000,95.299999999999997,19312,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
98,c955bdf8e35d100e8bf2cfe265aab5acb8fd70e8099d449e245cd8dc1f32a1e4,False,False,False,False,False,0,7665.8999999999996,322992,98,19312,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
99,269840ac8d2282bd9cb80799116a562c2742a95ee322ea8a3641695b0640896e,False,False,False,False,False,0,7770.1000000000004,323128,150.69999999999999,19440,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
100,78bc1e25a6b3c2d2f2bb65edd0d75fe646a39f2adafb4fad6529f10fd15b3b40,False,False,False,False,False,0,7595.1999999999998,322992,93.400000000000006,19312,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
101,3be294dbcc2ac51f2f0eb4e2fc7be1cad1e7e6f34811335046192773d453a6c0,False,False,False,False,False,0,7538.3999999999996,323000,97.200000000000003,19312,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
102,2d2e6bc0505e6177efd45a08a35a428e85ee107585ee8d0cca7879d78a644daa,False,False,False,False,False,0,7433.1000000000004,323216,89,19312,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
103,1387a4f2b46c632cdfc9f927865cdd6b1643b076f250d61a20eeacc9fd4dd72d,False,False,False,False,False,0,7514.3999999999996,323224,94.400000000000006,19312,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
104,30745c0c33e2e482cedc6328d939b81132e521fe6d99249c121d1ed7519d15ff,False,False,False,False,False,0,7492.6000000000004,323216,90.400000000000006,19312,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
105,774e354e10001de1a4ebfb543da8d81b6cda7fc068160cad9e5152cbf1925f9d,False,False,False,False,False,0,7514.3999999999996,323224,91.099999999999994,19312,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
106,2114f92ba9f562d58e679258b3d1e92721e9826d30c25b5d253928c27fde63af,False,False,False,False,False,0,7592.8000000000002,323216,100.5,19312,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
107,bcc43b949f9753815e40017eda1269f2dc969bf321d6ac7600b614d938d35a9d,False,False,False,False,False,0,7756.8999999999996,323352,149.19999999999999,19440,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
108,0f881e0ce2e2e85e09dc08c8e498ed526e4b07be52f0c100a110c7b1c564ff02,False,False,False,False,False,0,7738.3000000000002,322992,93.299999999999997,19312,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
109,4330c081c098aa50227d5140022b150c7402dc96d3312839dd71d5df491d00c7,False,False,False,False,False,0,7603.3000000000002,323128,140.5,19440,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
110,9f2d6cc89ee719fc5e7724125de674846007447bb08689fb5d0be1cd1b883e94,False,False,False,False,False,0,7516.3000000000002,322992,92.599999999999994,19312,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
111,443690a33c7af500fe9b4db132b49861ecfbdea958af6aa4adc918c03753d0d2,False,False,False,False,False,0,7534.6000000000004,323128,137.30000000000001,19440,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
112,05eca530f31ff84b5c65c4ee40a674b340bac4d1da82c9447443e2945b734068,False,False,False,False,False,0,7530.5,322992,94,19312,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
113,cf63eaa5c29d617ce0099e4e4a58b63251aa7619b79718288ba55b8e2dbda0ff,False,False,False,False,False,0,7460.5,323000,94,19312,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
114,ded14cbfa2f76fd09ea1a10cc819804387e1670b9fd56a3ae8f8beb146907d2b,False,False,False,False,False,0,4339.3999999999996,322992,92.700000000000003,19312,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
115,d226aa57e1413db9a41195d7dcd8f153e4df9d7dfe5db6f3ee23eb2d1046d5b5,False,False,False,False,False,0,4343.3000000000002,323000,93.099999999999994,19312,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
116,2033967633880dabf62c1793a09556b9f5ac13bcbbd92afcae6fc489a51cad91,False,False,False,False,False,0,4311.3000000000002,322992,88.299999999999997,19312,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
117,3378beac7fe4ef6b23ffa3e2466ae6f61349e7d9c419598dc7878c95d0b3d537,False,False,False,False,False,0,4390.5,323000,103,19312,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
