candidate_id,probe_id,logical_step,elapsed_s,path_id,from_node,to_node,candidate_resolved,candidate_driving_pa,candidate_flow_kg_s,canonical_flow_kg_s,if97_counterfactual_flow_kg_s,abs_candidate_minus_canonical_flow_kg_s,abs_candidate_minus_if97_flow_kg_s,driving_sign_changed_from_production
B1-PIECEWISE-REDUCED,exact-v9-5-to-6mwe,8784,60,FEEDWATER-PUMP,feedwater-inventory,drum,true,1086842.2459903117,32.96729054669661,14.844986146362718,32.96820780885821,18.122304400333892,0.000917262161600263,false
B1-PIECEWISE-REDUCED,exact-v9-5-to-6mwe,14784,120,MCP,suction,pressure,true,933077.1337524055,136.60725703654293,105.4283494310372,136.6156308708177,31.178907605505728,0.008373834274777892,false
B1-PIECEWISE-REDUCED,exact-v9-5-to-6mwe,14784,120,CHANNEL,pressure,outlet,true,-404561.67097397964,-127.2103252057756,105.24942188936794,-127.22845089961612,232.45974709514354,0.018125693840516988,true
B1-PIECEWISE-REDUCED,exact-v9-5-to-6mwe,14784,120,RETURN,outlet,drum,true,471573.7241236395,137.34245143052303,105.44361352904157,137.35568764485186,31.898837901481457,0.0132362143288276,false
B1-PIECEWISE-REDUCED,exact-v9-5-to-6mwe,14784,120,FEEDWATER-PUMP,feedwater-inventory,drum,true,1130505.9848702904,33.62299785667974,17.28422915929627,33.62855361896356,16.33876869738347,0.0055557622838193765,false
B1-PIECEWISE-REDUCED,exact-v9-5-to-6mwe,20784,180,MCP,suction,pressure,true,926282.7180739981,136.1089797238961,102.40247734510908,136.124760995881,33.706502378787036,0.015781271984877776,false
B1-PIECEWISE-REDUCED,exact-v9-5-to-6mwe,20784,180,CHANNEL,pressure,outlet,true,-433393.1015850148,-131.66519685703048,102.20690760511592,-131.62967923375192,233.8721044621464,0.035517623278565225,true
B1-PIECEWISE-REDUCED,exact-v9-5-to-6mwe,20784,180,RETURN,outlet,drum,true,461911.8201198145,135.92818988271924,102.44235749603615,135.88262751543286,33.485832386683086,0.04556236728637941,false
B1-PIECEWISE-REDUCED,exact-v9-5-to-6mwe,20784,180,FEEDWATER-PUMP,feedwater-inventory,drum,true,1095968.2076757113,33.10541054987404,16.300026961658304,33.10983003962199,16.805383588215733,0.0044194897479528095,false
B1-PIECEWISE-REDUCED,exact-v9-5-to-6mwe,26784,240,MCP,suction,pressure,true,943855.3495831332,137.39398455413783,100.62036726164747,137.38188465831266,36.77361729249036,0.012099895825173235,false
B1-PIECEWISE-REDUCED,exact-v9-5-to-6mwe,26784,240,CHANNEL,pressure,outlet,true,-472163.04593719903,-137.42824250308945,100.48674934486715,-137.3577994992708,237.9149918479566,0.07044300381863877,true
B1-PIECEWISE-REDUCED,exact-v9-5-to-6mwe,26784,240,RETURN,outlet,drum,true,456054.5286770843,135.06361888785364,100.57260301236511,135.02110284294974,34.49101587548853,0.04251604490389127,false
B1-PIECEWISE-REDUCED,exact-v9-5-to-6mwe,26784,240,FEEDWATER-PUMP,feedwater-inventory,drum,true,1090575.7551224083,33.02386644719858,16.093376058894673,33.02890140500069,16.930490388303905,0.00503495780210983,false
B1-PIECEWISE-REDUCED,exact-v9-5-to-6mwe,32784,300,MCP,suction,pressure,true,962641.9139060251,138.75459732246892,99.61536509407972,138.73592198081545,39.139232228389204,0.018675341653477062,false
B1-PIECEWISE-REDUCED,exact-v9-5-to-6mwe,32784,300,CHANNEL,pressure,outlet,true,-503230.37542828784,-141.87746479667416,99.54485995603764,-141.81422437889267,241.4223247527118,0.06324041778148626,true
B1-PIECEWISE-REDUCED,exact-v9-5-to-6mwe,32784,300,RETURN,outlet,drum,true,452951.10765418835,134.6032849011031,99.5653970684299,134.58710045938264,35.037887832673206,0.016184441720469067,false
B1-PIECEWISE-REDUCED,exact-v9-5-to-6mwe,32784,300,FEEDWATER-PUMP,feedwater-inventory,drum,true,1088268.8110399516,32.98891951913478,15.940684017938445,32.99510262322218,17.048235501196338,0.006183104087398306,false
B1-PIECEWISE-REDUCED,exact-v9-5-to-6mwe,38784,360,MCP,suction,pressure,true,977167.168176039,139.79750843101883,99.06867970955915,139.78680571181565,40.72882872145968,0.010702719203180777,false
B1-PIECEWISE-REDUCED,exact-v9-5-to-6mwe,38784,360,CHANNEL,pressure,outlet,true,-524952.8211662753,-144.90725601794762,99.04604583727536,-144.88412089696698,243.95330185522297,0.023135120980640522,true
B1-PIECEWISE-REDUCED,exact-v9-5-to-6mwe,38784,360,RETURN,outlet,drum,true,451353.07586507703,134.3656318952249,99.02374177853561,134.38884745361383,35.3418901166893,0.023215558388926638,false
