candidate_id,probe_id,logical_step,elapsed_s,node_id,reference_region,reference_phase,reference_temperature_c,reference_pressure_mpa,reference_quality,candidate_resolved,candidate_region,candidate_phase,candidate_temperature_c,candidate_pressure_mpa,candidate_quality,phase_matches,pressure_relative_error,temperature_relative_kelvin_error
B1-PIECEWISE-REDUCED,background-reference,48000,480,pressure,REGION-4-MIXTURE,SaturatedMixture,269.4799217283727,5.4582106824633945,0.0009015025210119517,true,REGION-4-MIXTURE-TABLE,SaturatedMixture,269.4791827201843,5.458540757577949,0.0009011177462618195,true,6.047313556712116E-05,1.3619009176779178E-06
B1-PIECEWISE-REDUCED,background-reference,48000,480,outlet,REGION-4-MIXTURE,SaturatedMixture,275.18437056839457,5.963117167820244,0.18990745596832528,true,REGION-4-MIXTURE-TABLE,SaturatedMixture,275.18879890441895,5.9640391253732234,0.18989309494421827,true,0.00015461000128496423,8.075977472987825E-06
B1-PIECEWISE-REDUCED,background-reference,48000,480,drum,REGION-4-MIXTURE,SaturatedMixture,270.41057386994373,5.5382678699752335,0.03663046990652133,true,REGION-4-MIXTURE-TABLE,SaturatedMixture,270.41100454330444,5.538643065101274,0.03662671029310508,true,6.774593335846548E-05,7.92318982307102E-07
B1-PIECEWISE-REDUCED,background-reference,48000,480,feedwater-inventory,REGION-1,SubcooledLiquid,47.5211405735958,0.1218174645778532,,true,REGION-1-REDUCED,SubcooledLiquid,47.51734193967599,0.12520508679082448,,true,0.027809002795377232,1.1845886452455356E-05
B1-PIECEWISE-REDUCED,background-reference,54000,540,suction,REGION-4-MIXTURE,SaturatedMixture,269.34476251006106,5.446657821393141,0.0009044047982072967,true,REGION-4-MIXTURE-TABLE,SaturatedMixture,269.34391689300537,5.447035566095325,0.0009039650536333218,true,6.935348512257918E-05,1.5587561652682781E-06
B1-PIECEWISE-REDUCED,background-reference,54000,540,pressure,REGION-4-MIXTURE,SaturatedMixture,269.4799217283727,5.4582106824633945,0.000901502521094229,true,REGION-4-MIXTURE-TABLE,SaturatedMixture,269.4791827201843,5.458540757577949,0.0009011177463440857,true,6.047313556712116E-05,1.3619009176779178E-06
B1-PIECEWISE-REDUCED,background-reference,54000,540,outlet,REGION-4-MIXTURE,SaturatedMixture,275.1843705892562,5.963117169729576,0.1899074556347955,true,REGION-4-MIXTURE-TABLE,SaturatedMixture,275.18879890441895,5.9640391253732234,0.18989309454355383,true,0.0001546096810453132,8.07593942719313E-06
B1-PIECEWISE-REDUCED,background-reference,54000,540,drum,REGION-4-MIXTURE,SaturatedMixture,270.41057386994373,5.5382678699752335,0.036630469913993186,true,REGION-4-MIXTURE-TABLE,SaturatedMixture,270.41100454330444,5.538643065101274,0.03662671030057622,true,6.774593335846548E-05,7.92318982307102E-07
B1-PIECEWISE-REDUCED,background-reference,54000,540,feedwater-inventory,REGION-1,SubcooledLiquid,47.52114057219461,0.12181746457708201,,true,REGION-1-REDUCED,SubcooledLiquid,47.517341937632864,0.1252050864161121,,true,0.027808999725868776,1.1845888454348405E-05
B1-PIECEWISE-REDUCED,background-reference,60000,600,suction,REGION-4-MIXTURE,SaturatedMixture,269.34476251006106,5.446657821393141,0.0009044047982072967,true,REGION-4-MIXTURE-TABLE,SaturatedMixture,269.34391689300537,5.447035566095325,0.0009039650536333218,true,6.935348512257918E-05,1.5587561652682781E-06
B1-PIECEWISE-REDUCED,background-reference,60000,600,pressure,REGION-4-MIXTURE,SaturatedMixture,269.4799217283727,5.4582106824633945,0.0009015025211569903,true,REGION-4-MIXTURE-TABLE,SaturatedMixture,269.4791827201843,5.458540757577949,0.0009011177464068386,true,6.047313556712116E-05,1.3619009176779178E-06
B1-PIECEWISE-REDUCED,background-reference,60000,600,outlet,REGION-4-MIXTURE,SaturatedMixture,275.1843705892562,5.963117169729576,0.18990745521779132,true,REGION-4-MIXTURE-TABLE,SaturatedMixture,275.18879890441895,5.9640391253732234,0.18989309412657918,true,0.0001546096810453132,8.07593942719313E-06
B1-PIECEWISE-REDUCED,background-reference,60000,600,drum,REGION-4-MIXTURE,SaturatedMixture,270.41057386994373,5.5382678699752335,0.036630469924585435,true,REGION-4-MIXTURE-TABLE,SaturatedMixture,270.41100454330444,5.538643065101274,0.03662671031116749,true,6.774593335846548E-05,7.92318982307102E-07
