step,seconds,path,mode1_head_pa,candidate_head_pa,head_delta_pa
7,0.07,main-steam-line,151244.96042974852,151170.80813150853,-74.15229823999107
7,0.07,stop-valve,177935.24604060967,177934.8246079227,-0.42143268696963787
7,0.07,control-valve,2075297.6646237792,2075276.6224744292,-21.04214935004711
7,0.07,admission-valve,177935.2472886364,177844.63632735563,-90.61096128076315
7,0.07,turbine-expansion,3807814.293423039,3807927.5089836195,113.21556058060378
8,0.08,main-circulation-pump,499999.9996978864,499239.0812174184,-760.9184804679826
8,0.08,channel,249999.9998486014,250254.35503602773,254.3551874263212
8,0.08,return,250000.00147839263,246751.56107551418,-3248.4404028784484
8,0.08,main-steam-line,151244.96042301133,151171.0330008166,-73.92742219474167
8,0.08,stop-valve,177935.24604390468,177934.79589502607,-0.4501488786190748
8,0.08,control-valve,2075297.664621464,2075274.1490059462,-23.515615517739207
8,0.08,admission-valve,177935.2472886364,177834.66210978618,-100.58517885021865
8,0.08,turbine-expansion,3807814.293423039,3807940.08501101,125.79158797115088
9,0.09,main-circulation-pump,499999.9996972829,499199.3467600243,-800.6529372585937
9,0.09,channel,249999.99984909035,250231.2007782748,231.20092918444425
9,0.09,return,250000.00147839263,246475.67331563123,-3524.328162761405
9,0.09,main-steam-line,151244.96041619126,151172.692838124,-72.267578067258
9,0.09,stop-valve,177935.24604728539,177934.77835982665,-0.4676874587312341
9,0.09,control-valve,2075297.6646191012,2075271.64441483,-26.02020427118987
9,0.09,admission-valve,177935.2472886364,177824.7089392771,-110.53834935929626
9,0.09,turbine-expansion,3807814.293423039,3807952.6605271585,138.36710411962122
10,0.1,main-circulation-pump,499999.99969760794,499159.3419309268,-840.6577666811645
10,0.1,channel,249999.9998486014,250206.35344410595,206.35359550453722
10,0.1,return,250000.00147839263,246207.52585188858,-3792.4756265040487
10,0.1,main-steam-line,151244.96040949132,151175.73109114543,-69.2293183458969
10,0.1,stop-valve,177935.2460506484,177934.76939474326,-0.4766559051349759
10,0.1,control-valve,2075297.6646167347,2075269.1120895273,-28.55252720741555
10,0.1,admission-valve,177935.2472886364,177814.77480829228,-120.47248034412041
10,0.1,turbine-expansion,3807814.293423039,3807965.235530402,150.94210736313835
11,0.11,main-circulation-pump,499999.9996974282,499118.74418840464,-881.2555090235546
11,0.11,channel,249999.9998486014,250180.18916106783,180.18931246642023
11,0.11,return,250000.00147839263,245946.86548861023,-4053.1359897824004
11,0.11,main-steam-line,151244.96040284168,151180.08585534059,-64.87454750109464
11,0.11,stop-valve,177935.2460540384,177934.7750509046,-0.47100313380360603
