lane,run_index,boundary_index,boundary_temperature_c,sample_count,median_us,p95_us,max_us,max_pass_index,max_row_index,calls_over_max_ceiling,exceedance_fraction,calls_with_gc_activity,exceedances_with_gc_activity,nonzero_allocation_calls,fallback_calls
B,1,93,268.64694446921374,64,5.1,5.2,8.8,46,93,0,0,0,0,0,0
B,1,94,268.6578054487708,64,5.1,5.2,5.7,54,94,0,0,0,0,0,0
B,1,95,268.70778965353986,64,5.1,5.2,7,1,95,0,0,0,0,0,0
B,1,96,268.75488118529313,64,5.1,5.2,7.1,1,96,0,0,0,0,0,0
B,1,97,268.8133836925032,64,5.1,5.2,7.7,2,97,0,0,0,0,0,0
B,1,98,268.8640391409398,64,5.1,5.2,7.1,2,98,0,0,0,0,0,0
B,1,99,268.91260992884634,64,5,5.1,5.3,2,99,0,0,0,0,0,0
B,1,100,268.9904044747353,64,5.1,5.1,5.2,2,100,0,0,0,0,0,0
B,1,101,269.0172909379006,64,5.05,5.3,6.8,1,101,0,0,0,0,0,0
B,1,102,269.0666279315948,64,5.1,5.2,5.5,1,102,0,0,0,0,0,0
B,1,103,269.16647517681133,64,5.1,5.2,23.3,3,103,0,0,0,0,0,0
B,1,104,269.1776982307432,64,5,5.1,5.6,2,104,0,0,0,0,0,0
B,1,105,269.2148237466812,64,5.1,5.2,5.3,2,105,0,0,0,0,0,0
B,1,106,269.2245281159875,64,5.1,5.3,7.5,1,106,0,0,0,0,0,0
B,1,107,269.286198878288,64,5.1,5.4,6.8,1,107,0,0,0,0,0,0
B,1,108,269.3115269780159,64,5.1,5.2,5.4,3,108,0,0,0,0,0,0
B,1,109,269.34476251006106,64,5.1,5.5,8.9,28,109,0,0,0,0,0,0
B,1,110,269.35565841197956,64,5.1,5.2,6.6,49,110,0,0,0,0,0,0
B,1,111,269.35622538924224,64,5.1,5.1,6.5,25,111,0,0,0,0,0,0
B,1,112,269.3710194945336,64,5,5.2,6.8,1,112,0,0,0,0,0,0
B,1,113,269.3758408248424,64,5,5.2,6.8,1,113,0,0,0,0,0,0
B,1,114,269.38479275703435,64,5.1,5.1,7,2,114,0,0,0,0,0,0
B,1,115,269.40271410346065,64,5.1,5.2,7.1,2,115,0,0,0,0,0,0
B,1,116,269.4203418850898,64,5.1,5.1,5.3,2,116,0,0,0,0,0,0
B,1,117,269.4265326142312,64,5,5.1,5.3,2,117,0,0,0,0,0,0
B,1,118,269.43838264346107,64,5.1,5.3,6.9,1,118,0,0,0,0,0,0
B,1,119,269.45672143101694,64,5.05,5.2,5.4,0,119,0,0,0,0,0,0
B,1,120,269.475270628929,64,5,5.2,7.1,2,120,0,0,0,0,0,0
B,1,121,269.4799217283727,64,5.1,5.2,5.4,2,121,0,0,0,0,0,0
B,1,122,269.4845352351666,64,5,5.1,5.2,2,122,0,0,0,0,0,0
B,1,123,269.4921368777751,64,5,5.2,7,1,123,0,0,0,0,0,0
B,1,124,269.49399043321625,64,5.1,5.2,6.8,1,124,0,0,0,0,0,0
B,1,125,269.5075922548773,64,5,5.2,5.4,0,125,0,0,0,0,0,0
B,1,126,269.512844836712,64,5.05,5.1,7,2,126,0,0,0,0,0,0
B,1,127,269.5298897445201,64,5,5.1,5.6,49,127,0,0,0,0,0,0
B,1,128,269.53180425763105,64,5,5.1,5.3,2,128,0,0,0,0,0,0
B,1,129,269.53814047574997,64,5.1,5.2,7.2,0,129,0,0,0,0,0,0
B,1,130,269.55084462165814,64,5,5.4,6.7,57,130,0,0,0,0,0,0
B,1,131,269.5699443995951,64,5,5.2,9.6,0,131,0,0,0,0,0,0
B,1,132,269.5759793758393,64,5,5.1,5.6,2,132,0,0,0,0,0,0
B,1,133,269.58908331394184,64,5,5.2,5.4,59,133,0,0,0,0,0,0
B,1,134,269.60824417471883,64,5,5.1,6.8,14,134,0,0,0,0,0,0
B,1,135,269.6106666266918,64,5,5.4,7,1,135,0,0,0,0,0,0
B,1,136,269.627409541607,64,5,5.3,5.6,3,136,0,0,0,0,0,0
B,1,137,269.644376009703,64,5,5.2,7.1,2,137,0,0,0,0,0,0
B,1,138,269.6465640187264,64,5,5.2,6.5,42,138,0,0,0,0,0,0
B,1,139,269.665693461895,64,5,5.1,6.6,22,139,0,0,0,0,0,0
B,1,140,269.67791057229067,64,5.1,5.2,6.8,1,140,0,0,0,0,0,0
B,1,141,269.6847838103771,64,5.1,5.4,6.9,1,141,0,0,0,0,0,0
B,1,142,269.69983050823214,64,5.1,5.4,7.1,2,142,0,0,0,0,0,0
B,1,143,269.7038233816626,64,5.1,5.1,7,2,143,0,0,0,0,0,0
B,1,144,269.7115400552751,64,5,5.1,5.3,2,144,0,0,0,0,0,0
B,1,145,269.7228007018567,64,5,5.1,5.3,2,145,0,0,0,0,0,0
B,1,146,269.7417052984239,64,5.1,5.3,6.8,1,146,0,0,0,0,0,0
B,1,147,269.74532633423803,64,5,5.1,5.5,3,147,0,0,0,0,0,0
B,1,148,269.7605286598206,64,5.1,5.2,7,2,148,0,0,0,0,0,0
B,1,149,269.77926023006455,64,5,5.2,6.8,39,149,0,0,0,0,0,0
B,1,150,269.7792617738247,64,5.1,5.2,5.3,2,150,0,0,0,0,0,0
B,1,151,269.7978978395462,64,5,5.2,6.9,1,151,0,0,0,0,0,0
B,1,152,269.81331082582483,64,5.1,5.1,6.8,1,152,0,0,0,0,0,0
B,1,153,269.81642926335314,64,5.05,5.1,5.5,3,153,0,0,0,0,0,0
B,1,154,269.8348390221596,64,5,5.1,7,2,154,0,0,0,0,0,0
B,1,155,269.8474434912206,64,5,5.1,5.2,2,155,0,0,0,0,0,0
B,1,156,269.85314221978194,64,5,5.1,5.2,2,156,0,0,0,0,0,0
B,1,157,269.86491042971613,64,5,5.5,7,0,157,0,0,0,0,0,0
B,1,158,269.87132650613796,64,5.05,5.2,6.8,1,158,0,0,0,0,0,0
B,1,159,269.8816254317761,64,5,5.1,7,2,159,0,0,0,0,0,0
B,1,160,269.8893888354303,64,5,5.1,5.8,2,160,0,0,0,0,0,0
B,1,161,269.90732603669187,64,5.05,5.1,8.8,2,161,0,0,0,0,0,0
B,1,162,269.9158253133297,64,5,5.1,5.2,2,162,0,0,0,0,0,0
B,1,163,269.92513548135753,64,5,5.3,6.7,1,163,0,0,0,0,0,0
B,1,164,269.93746799826624,64,5,5.1,5.4,3,164,0,0,0,0,0,0
B,1,165,269.9428149163722,64,5,5.2,7,2,165,0,0,0,0,0,0
B,1,166,269.9500148475171,64,5,5.1,5.2,2,166,0,0,0,0,0,0
B,1,167,269.9603627145292,64,5,5.1,5.3,2,167,0,0,0,0,0,0
B,1,168,269.9777773737907,64,5.1,5.2,6.8,1,168,0,0,0,0,0,0
B,1,169,269.984167456627,64,5.1,5.4,6.8,1,169,0,0,0,0,0,0
B,1,170,269.99505785107624,64,5.1,5.4,7.4,2,170,0,0,0,0,0,0
B,1,171,270.0122033536435,64,5.1,5.2,7,2,171,0,0,0,0,0,0
B,1,172,270.01825814843176,64,5.1,5.2,6.9,59,172,0,0,0,0,0,0
B,1,173,270.02492635846113,64,5.1,5.1,6.5,18,173,0,0,0,0,0,0
B,1,174,270.02921333909023,64,5.05,5.3,6.8,1,174,0,0,0,0,0,0
B,1,175,270.0460875153541,64,5,5.2,5.5,3,175,0,0,0,0,0,0
B,1,176,270.0522645592689,64,5.1,5.2,7,2,176,0,0,0,0,0,0
B,1,177,270.06282575726516,64,5.1,5.1,6.5,57,177,0,0,0,0,0,0
B,1,178,270.0794281482697,64,5,5.1,5.3,2,178,0,0,0,0,0,0
B,1,179,270.086165201664,64,5,5.2,7.1,1,179,0,0,0,0,0,0
B,1,180,270.0950280129906,64,5.1,5.2,6.8,1,180,0,0,0,0,0,0
