probe_id,logical_step,elapsed_s,node_id,reference_region,reference_phase,sample_count,median_us,p95_us,max_us,max_pass_index,max_row_index,calls_over_max_ceiling,exceedance_fraction,tail_classification
exact-v9-5-to-6mwe,146784,1440,pressure,REGION-4-MIXTURE,SaturatedMixture,64,2.2,2.4,2.6,0,176,0,0,WITHIN-CEILING
exact-v9-5-to-6mwe,200784,1980,outlet,REGION-4-MIXTURE,SaturatedMixture,64,2.2,2.4,2.6,42,222,0,0,WITHIN-CEILING
exact-v9-5-to-6mwe,260784,2580,outlet,REGION-4-MIXTURE,SaturatedMixture,64,2.3,2.4,2.6,43,272,0,0,WITHIN-CEILING
exact-v9-5-to-6mwe,344784,3420,outlet,REGION-4-MIXTURE,SaturatedMixture,64,2.3,2.4,2.6,25,342,0,0,WITHIN-CEILING
exact-v9-5-to-6mwe,56784,540,pressure,REGION-4-MIXTURE,SaturatedMixture,64,2.1,2.4,2.5,10,101,0,0,WITHIN-CEILING
exact-v9-5-to-6mwe,140784,1380,suction,REGION-4-MIXTURE,SaturatedMixture,64,2.2,2.4,2.5,0,170,0,0,WITHIN-CEILING
exact-v9-5-to-6mwe,170784,1680,outlet,REGION-4-MIXTURE,SaturatedMixture,64,2.2,2.4,2.5,14,197,0,0,WITHIN-CEILING
exact-v9-5-to-6mwe,2784,0,suction,REGION-4-MIXTURE,SaturatedMixture,64,2.2,2.4,2.4,26,55,0,0,WITHIN-CEILING
exact-v9-5-to-6mwe,8784,60,suction,REGION-4-MIXTURE,SaturatedMixture,64,2.2,2.4,2.4,14,60,0,0,WITHIN-CEILING
exact-v9-5-to-6mwe,14784,120,outlet,REGION-4-MIXTURE,SaturatedMixture,64,2.2,2.4,2.4,15,67,0,0,WITHIN-CEILING
exact-v9-5-to-6mwe,272784,2700,outlet,REGION-4-MIXTURE,SaturatedMixture,64,2.3,2.4,2.4,0,282,0,0,WITHIN-CEILING
exact-v9-5-to-6mwe,284784,2820,outlet,REGION-4-MIXTURE,SaturatedMixture,64,2.2,2.4,2.4,41,292,0,0,WITHIN-CEILING
exact-v9-5-to-6mwe,338784,3360,drum,REGION-4-MIXTURE,SaturatedMixture,64,2.2,2.3,119.6,25,338,0,0,WITHIN-CEILING
exact-v9-5-to-6mwe,32784,300,drum,REGION-4-MIXTURE,SaturatedMixture,64,2.2,2.3,44.6,7,83,0,0,WITHIN-CEILING
exact-v9-5-to-6mwe,8784,60,outlet,REGION-4-MIXTURE,SaturatedMixture,64,2.2,2.3,30.8,51,62,0,0,WITHIN-CEILING
exact-v9-5-to-6mwe,32784,300,outlet,REGION-4-MIXTURE,SaturatedMixture,64,2.2,2.3,30.8,7,82,0,0,WITHIN-CEILING
exact-v9-5-to-6mwe,26784,240,pressure,REGION-4-MIXTURE,SaturatedMixture,64,2.1,2.3,20.5,13,76,0,0,WITHIN-CEILING
exact-v9-5-to-6mwe,332784,3300,pressure,REGION-4-MIXTURE,SaturatedMixture,64,2.2,2.3,15.4,61,331,0,0,WITHIN-CEILING
exact-v9-5-to-6mwe,212784,2100,suction,REGION-4-MIXTURE,SaturatedMixture,64,2.2,2.3,13.6,0,230,0,0,WITHIN-CEILING
exact-v9-5-to-6mwe,338784,3360,suction,REGION-4-MIXTURE,SaturatedMixture,64,2.2,2.3,9.7,61,335,0,0,WITHIN-CEILING
exact-v9-5-to-6mwe,278784,2760,outlet,REGION-4-MIXTURE,SaturatedMixture,64,2.2,2.3,5.1,0,287,0,0,WITHIN-CEILING
exact-v9-5-to-6mwe,278784,2760,pressure,REGION-4-MIXTURE,SaturatedMixture,64,2.2,2.3,4.7,0,286,0,0,WITHIN-CEILING
background-reference,12000,120,suction,REGION-4-MIXTURE,SaturatedMixture,64,2.1,2.3,4.2,25,10,0,0,WITHIN-CEILING
background-reference,0,0,pressure,REGION-4-MIXTURE,SaturatedMixture,64,2.1,2.3,3.6,0,1,0,0,WITHIN-CEILING
exact-v9-5-to-6mwe,158784,1560,drum,REGION-4-MIXTURE,SaturatedMixture,64,2.1500000000000004,2.3,3.6,0,188,0,0,WITHIN-CEILING
exact-v9-5-to-6mwe,188784,1860,suction,REGION-4-MIXTURE,SaturatedMixture,64,2.1,2.3,3.6,14,210,0,0,WITHIN-CEILING
exact-v9-5-to-6mwe,74784,720,drum,REGION-4-MIXTURE,SaturatedMixture,64,2.2,2.3,3.5,7,118,0,0,WITHIN-CEILING
background-reference,36000,360,suction,REGION-4-MIXTURE,SaturatedMixture,64,2.1,2.3,3.4,51,30,0,0,WITHIN-CEILING
background-reference,48000,480,suction,REGION-4-MIXTURE,SaturatedMixture,64,2.1,2.3,3.4,28,40,0,0,WITHIN-CEILING
background-reference,54000,540,suction,REGION-4-MIXTURE,SaturatedMixture,64,2.1,2.3,3.4,28,45,0,0,WITHIN-CEILING
exact-v9-5-to-6mwe,200784,1980,suction,REGION-4-MIXTURE,SaturatedMixture,64,2.2,2.3,3.4,52,220,0,0,WITHIN-CEILING
exact-v9-5-to-6mwe,224784,2220,pressure,REGION-4-MIXTURE,SaturatedMixture,64,2.2,2.3,3.4,14,241,0,0,WITHIN-CEILING
background-reference,60000,600,suction,REGION-4-MIXTURE,SaturatedMixture,64,2.1,2.3,3.3,60,50,0,0,WITHIN-CEILING
exact-v9-5-to-6mwe,20784,180,drum,REGION-4-MIXTURE,SaturatedMixture,64,2.2,2.3,3.3,14,73,0,0,WITHIN-CEILING
exact-v9-5-to-6mwe,26784,240,outlet,REGION-4-MIXTURE,SaturatedMixture,64,2.2,2.3,3.3,15,77,0,0,WITHIN-CEILING
exact-v9-5-to-6mwe,182784,1800,suction,REGION-4-MIXTURE,SaturatedMixture,64,2.2,2.3,3.3,43,205,0,0,WITHIN-CEILING
exact-v9-5-to-6mwe,266784,2640,outlet,REGION-4-MIXTURE,SaturatedMixture,64,2.2,2.3,3.3,43,277,0,0,WITHIN-CEILING
exact-v9-5-to-6mwe,266784,2640,drum,REGION-4-MIXTURE,SaturatedMixture,64,2.2,2.3,3.3,34,278,0,0,WITHIN-CEILING
exact-v9-5-to-6mwe,272784,2700,suction,REGION-4-MIXTURE,SaturatedMixture,64,2.2,2.3,3.3,15,280,0,0,WITHIN-CEILING
exact-v9-5-to-6mwe,278784,2760,suction,REGION-4-MIXTURE,SaturatedMixture,64,2.2,2.3,3.3,0,285,0,0,WITHIN-CEILING
exact-v9-5-to-6mwe,290784,2880,drum,REGION-4-MIXTURE,SaturatedMixture,64,2.2,2.3,3.3,25,298,0,0,WITHIN-CEILING
exact-v9-5-to-6mwe,326784,3240,pressure,REGION-4-MIXTURE,SaturatedMixture,64,2.2,2.3,3.3,15,326,0,0,WITHIN-CEILING
exact-v9-5-to-6mwe,326784,3240,outlet,REGION-4-MIXTURE,SaturatedMixture,64,2.3,2.3,3.3,61,327,0,0,WITHIN-CEILING
exact-v9-5-to-6mwe,20784,180,outlet,REGION-4-MIXTURE,SaturatedMixture,64,2.2,2.3,3.2,14,72,0,0,WITHIN-CEILING
exact-v9-5-to-6mwe,26784,240,suction,REGION-4-MIXTURE,SaturatedMixture,64,2.2,2.3,3.2,14,75,0,0,WITHIN-CEILING
exact-v9-5-to-6mwe,266784,2640,suction,REGION-4-MIXTURE,SaturatedMixture,64,2.2,2.3,3.2,43,275,0,0,WITHIN-CEILING
exact-v9-5-to-6mwe,266784,2640,pressure,REGION-4-MIXTURE,SaturatedMixture,64,2.2,2.3,3.2,43,276,0,0,WITHIN-CEILING
exact-v9-5-to-6mwe,272784,2700,pressure,REGION-4-MIXTURE,SaturatedMixture,64,2.2,2.3,3.2,59,281,0,0,WITHIN-CEILING
exact-v9-5-to-6mwe,278784,2760,drum,REGION-4-MIXTURE,SaturatedMixture,64,2.2,2.3,3.2,0,288,0,0,WITHIN-CEILING
exact-v9-5-to-6mwe,326784,3240,suction,REGION-4-MIXTURE,SaturatedMixture,64,2.2,2.3,3.2,15,325,0,0,WITHIN-CEILING
exact-v9-5-to-6mwe,326784,3240,drum,REGION-4-MIXTURE,SaturatedMixture,64,2.2,2.3,3.2,61,328,0,0,WITHIN-CEILING
exact-v9-5-to-6mwe,20784,180,pressure,REGION-4-MIXTURE,SaturatedMixture,64,2.2,2.3,3.1,14,71,0,0,WITHIN-CEILING
exact-v9-5-to-6mwe,272784,2700,drum,REGION-4-MIXTURE,SaturatedMixture,64,2.2,2.3,3.1,0,283,0,0,WITHIN-CEILING
exact-v9-5-to-6mwe,206784,2040,drum,REGION-4-MIXTURE,SaturatedMixture,64,2.2,2.3,2.9,52,228,0,0,WITHIN-CEILING
exact-v9-5-to-6mwe,362784,3600,outlet,REGION-4-MIXTURE,SaturatedMixture,64,2.2,2.3,2.8,61,357,0,0,WITHIN-CEILING
background-reference,0,0,outlet,REGION-4-MIXTURE,SaturatedMixture,64,2.2,2.3,2.7,61,2,0,0,WITHIN-CEILING
background-reference,0,0,drum,REGION-4-MIXTURE,SaturatedMixture,64,2.1,2.3,2.7,61,3,0,0,WITHIN-CEILING
background-reference,6000,60,pressure,REGION-4-MIXTURE,SaturatedMixture,64,2.1,2.3,2.7,61,6,0,0,WITHIN-CEILING
exact-v9-5-to-6mwe,236784,2340,suction,REGION-4-MIXTURE,SaturatedMixture,64,2.2,2.3,2.7,33,250,0,0,WITHIN-CEILING
exact-v9-5-to-6mwe,290784,2880,outlet,REGION-4-MIXTURE,SaturatedMixture,64,2.3,2.3,2.7,25,297,0,0,WITHIN-CEILING
