domain,observation_index,source_identity,c3_resolved,c4_resolved,c3_region,c4_region,c3_phase,c4_phase,c3_temperature_bits,c4_temperature_bits,c3_pressure_bits,c4_pressure_bits,c3_quality_has_value,c4_quality_has_value,c3_quality_bits,c4_quality_bits,c4_repeat_count,c4_repeat_deterministic,bit_equivalent
VR2,37,VR2-V300-P1,true,true,REGION-2-TABLE-C2,REGION-2-TABLE-C2,SuperheatedVapor,SuperheatedVapor,4643985272004935680,4643985272004935680,4607182418800017408,4607182418800017408,false,false,0,0,2,true,true
VR2,38,VR2-V400-P5,true,true,REGION-2-TABLE-C2,REGION-2-TABLE-C2,SuperheatedVapor,SuperheatedVapor,4645744490609377280,4645744490609377280,4617315517961601024,4617315517961601024,false,false,0,0,2,true,true
EXACT-V9,39,background-reference|0|suction,true,true,REGION-4-MIXTURE-TABLE-C2,REGION-4-MIXTURE-TABLE-C2,SaturatedMixture,SaturatedMixture,4643445978457702400,4643445978457702400,4617818435807602759,4617818435807602759,true,true,4561480638665237478,4561480638665237478,2,true,true
EXACT-V9,40,background-reference|0|pressure,true,true,REGION-4-MIXTURE-TABLE-C2,REGION-4-MIXTURE-TABLE-C2,SaturatedMixture,SaturatedMixture,4643448356946837504,4643448356946837504,4617831421982317562,4617831421982317562,true,true,4561454071945202372,4561454071945202372,2,true,true
EXACT-V9,41,background-reference|0|outlet,true,true,REGION-4-MIXTURE-TABLE-C2,REGION-4-MIXTURE-TABLE-C2,SaturatedMixture,SaturatedMixture,4643548715520360448,4643548715520360448,4618399954104525916,4618399954104525916,true,true,4596010126380252539,4596010126380252539,2,true,true
EXACT-V9,42,background-reference|0|drum,true,true,REGION-4-MIXTURE-TABLE-C2,REGION-4-MIXTURE-TABLE-C2,SaturatedMixture,SaturatedMixture,4643464729755385856,4643464729755385856,4617921577439988066,4617921577439988066,true,true,4585439797385502623,4585439797385502623,2,true,true
EXACT-V9,43,background-reference|0|feedwater-inventory,true,true,REGION-1-NEAR-BOUNDARY-C2,REGION-1-NEAR-BOUNDARY-C2,SubcooledLiquid,SubcooledLiquid,4631884290403055648,4631884290403055648,4593175440985200730,4593175440985200730,false,false,0,0,2,true,true
EXACT-V9,44,background-reference|6000|suction,true,true,REGION-4-MIXTURE-TABLE-C2,REGION-4-MIXTURE-TABLE-C2,SaturatedMixture,SaturatedMixture,4643445978457702400,4643445978457702400,4617818435807602759,4617818435807602759,true,true,4561480638665237478,4561480638665237478,2,true,true
EXACT-V9,45,background-reference|6000|pressure,true,true,REGION-4-MIXTURE-TABLE-C2,REGION-4-MIXTURE-TABLE-C2,SaturatedMixture,SaturatedMixture,4643448356946837504,4643448356946837504,4617831421982317562,4617831421982317562,true,true,4561454071945349862,4561454071945349862,2,true,true
EXACT-V9,46,background-reference|6000|outlet,true,true,REGION-4-MIXTURE-TABLE-C2,REGION-4-MIXTURE-TABLE-C2,SaturatedMixture,SaturatedMixture,4643548715519836160,4643548715519836160,4618399954101452537,4618399954101452537,true,true,4596010126378722666,4596010126378722666,2,true,true
