boundary_index,boundary_temperature_c,lane_run_count,total_calls,median_of_lane_run_medians_us,max_lane_run_p95_us,max_us,total_calls_over_max_ceiling,total_calls_with_gc_activity,total_exceedances_with_gc_activity,total_nonzero_allocation_calls,total_fallback_calls
153,269.81642926335314,10,640,5.25,18.6,22.7,0,0,0,0,0
154,269.8348390221596,10,640,5.25,18.6,22.8,0,0,0,0,0
155,269.84744349122059,10,640,5.225,18.5,22.8,0,0,0,0,0
156,269.85314221978194,10,640,5.25,18.4,22.7,0,0,0,0,0
157,269.86491042971613,10,640,5.25,18.4,22.7,0,0,0,0,0
158,269.87132650613796,10,640,5.2,18.6,22.8,0,0,0,0,0
159,269.88162543177611,10,640,5.2,18.5,22.8,0,0,0,0,0
160,269.88938883543028,10,640,5.25,18.4,22.8,0,0,0,0,0
161,269.90732603669187,10,640,5.25,18.4,26.2,0,0,0,0,0
162,269.91582531332972,10,640,5.25,18.4,22.8,0,0,0,0,0
163,269.92513548135753,10,640,5.25,18.4,22.7,0,0,0,0,0
164,269.93746799826624,10,640,5.25,18.5,22.8,0,0,0,0,0
165,269.94281491637219,10,640,5.25,18.5,29.6,0,0,0,0,0
166,269.95001484751708,10,640,5.2,18.4,22.8,0,0,0,0,0
167,269.9603627145292,10,640,5.2,18.4,22.7,0,0,0,0,0
168,269.97777737379067,10,640,5.3,18.5,22.9,0,0,0,0,0
169,269.984167456627,10,640,5.3,18.5,24.2,0,0,0,0,0
170,269.99505785107624,10,640,5.3,18.6,29.5,0,0,0,0,0
171,270.01220335364349,10,640,5.3,18.4,22.9,0,0,0,0,0
172,270.01825814843176,10,640,5.25,18.5,22.8,0,0,0,0,0
173,270.02492635846113,10,640,5.25,18.4,22.8,0,0,0,0,0
174,270.02921333909023,10,640,5.25,18.5,25,0,0,0,0,0
175,270.04608751535409,10,640,5.25,18.4,22.8,0,0,0,0,0
176,270.05226455926891,10,640,5.25,18.5,22.8,0,0,0,0,0
177,270.06282575726516,10,640,5.25,18.4,22.8,0,0,0,0,0
178,270.0794281482697,10,640,5.25,18.5,22.7,0,0,0,0,0
179,270.086165201664,10,640,5.25,18.5,21.8,0,0,0,0,0
180,270.09502801299061,10,640,5.25,18.4,22.8,0,0,0,0,0
181,270.10727103352531,10,640,5.25,18.5,21.5,0,0,0,0,0
182,270.11994096636784,10,640,5.25,18.4,36.6,0,0,0,0,0
183,270.15357453823083,10,640,5.25,18.4,24.1,0,0,0,0,0
184,270.18390763401965,10,640,5.25,18.5,20.1,0,0,0,0,0
185,270.18704968690849,10,640,5.25,18.4,24.5,0,0,0,0,0
186,270.2203527688979,10,640,5.25,18.6,20.4,0,0,0,0,0
187,270.25347097516044,10,640,5.25,18.5,24.6,0,0,0,0,0
188,270.28639316558827,10,640,5.25,18.4,20.4,0,0,0,0,0
189,270.31909401416772,10,640,5.25,18.4,20,0,0,0,0,0
190,270.33554824590669,10,640,5.25,18.4,27.8,0,0,0,0,0
191,270.35158449411381,10,640,5.25,18.4,20,0,0,0,0,0
192,270.38385555148113,10,640,5.25,18.5,21.6,0,0,0,0,0
193,270.41057386994373,10,640,5.25,18.5,19.7,0,0,0,0,0
194,270.41590021848651,10,640,5.25,18.4,19,0,0,0,0,0
195,270.44771307110761,10,640,5.25,18.4,24,0,0,0,0,0
196,270.47928985357294,10,640,5.25,18.4,329.9,0,0,0,0,0
197,270.48048021793363,10,640,5.25,18.5,23.7,0,0,0,0,0
198,270.50527734756463,10,640,5.275,18.5,20.3,0,0,0,0,0
199,270.5106271028518,10,640,5.275,18.4,18.6,0,0,0,0,0
200,270.54172206521014,10,640,5.3,18.4,48.8,0,0,0,0,0
201,270.56218957304952,10,640,5.25,18.4,21.7,0,0,0,0,0
202,270.57257265448573,10,640,5.25,18.4,22.1,0,0,0,0,0
203,270.60145553350435,10,640,5.25,18.3,18.5,0,0,0,0,0
204,270.60317728519419,10,640,5.25,18.4,19.7,0,0,0,0,0
205,270.61141203641887,10,640,5.25,18.4,20.1,0,0,0,0,0
206,270.63353503942506,10,640,5.25,18.6,19.7,0,0,0,0,0
207,270.65711631178863,10,640,5.25,18.4,33.2,0,0,0,0,0
208,270.66364524960511,10,640,5.25,18.5,23.9,0,0,0,0,0
209,270.69350779056538,10,640,5.25,18.4,23.1,0,0,0,0,0
210,270.7052416622638,10,640,5.25,18.4,22.9,0,0,0,0,0
211,270.72312278747552,10,640,5.275,18.4,22.9,0,0,0,0,0
212,270.72345995306989,10,640,5.25,18.4,22.9,0,0,0,0,0
