domain,observation_index,probe_id,logical_step,path_id,from_node,to_node,c3_resolved,c4_resolved,c3_driving_pressure_bits,c4_driving_pressure_bits,c3_flow_bits,c4_flow_bits,c3_sign_changed_from_production,c4_sign_changed_from_production,c4_repeat_count,c4_repeat_deterministic,bit_equivalent
HYDRAULIC,125,exact-v9-5-to-6mwe,122784,CHANNEL,pressure,outlet,true,true,-4530185050525759287,-4530185050525759287,-4583831742587413174,-4583831742587413174,true,true,2,true,true
HYDRAULIC,126,exact-v9-5-to-6mwe,122784,RETURN,outlet,drum,true,true,4692039982390272261,4692039982390272261,4639094073643829474,4639094073643829474,false,false,2,true,true
HYDRAULIC,127,exact-v9-5-to-6mwe,122784,FEEDWATER-PUMP,feedwater-inventory,drum,true,true,4697673029251263644,4697673029251263644,4629961239810529777,4629961239810529777,false,false,2,true,true
HYDRAULIC,128,exact-v9-5-to-6mwe,128784,MCP,suction,pressure,true,true,4696737722427343105,4696737722427343105,4639150958030922718,4639150958030922718,false,false,2,true,true
HYDRAULIC,129,exact-v9-5-to-6mwe,128784,CHANNEL,pressure,outlet,true,true,-4530082274903712977,-4530082274903712977,-4583776515783547383,-4583776515783547383,true,true,2,true,true
HYDRAULIC,130,exact-v9-5-to-6mwe,128784,RETURN,outlet,drum,true,true,4692239810218067274,4692239810218067274,4639152614622412894,4639152614622412894,false,false,2,true,true
HYDRAULIC,131,exact-v9-5-to-6mwe,128784,FEEDWATER-PUMP,feedwater-inventory,drum,true,true,4697687599518873924,4697687599518873924,4629968286188969078,4629968286188969078,false,false,2,true,true
HYDRAULIC,132,exact-v9-5-to-6mwe,134784,MCP,suction,pressure,true,true,4696722759590845928,4696722759590845928,4639146597108334975,4639146597108334975,false,false,2,true,true
HYDRAULIC,133,exact-v9-5-to-6mwe,134784,CHANNEL,pressure,outlet,true,true,-4529969294098220843,-4529969294098220843,-4583716450713783167,-4583716450713783167,true,true,2,true,true
HYDRAULIC,134,exact-v9-5-to-6mwe,134784,RETURN,outlet,drum,true,true,4692453333603909849,4692453333603909849,4639214411957773180,4639214411957773180,false,false,2,true,true
HYDRAULIC,135,exact-v9-5-to-6mwe,134784,FEEDWATER-PUMP,feedwater-inventory,drum,true,true,4697692917535267292,4697692917535267292,4629970855462844500,4629970855462844500,false,false,2,true,true
HYDRAULIC,136,exact-v9-5-to-6mwe,140784,MCP,suction,pressure,true,true,4696710420664512828,4696710420664512828,4639142998028173956,4639142998028173956,false,false,2,true,true
HYDRAULIC,137,exact-v9-5-to-6mwe,140784,CHANNEL,pressure,outlet,true,true,-4529847333341289972,-4529847333341289972,-4583652345649379600,-4583652345649379600,true,true,2,true,true
HYDRAULIC,138,exact-v9-5-to-6mwe,140784,RETURN,outlet,drum,true,true,4692676567082914564,4692676567082914564,4639278214894594303,4639278214894594303,false,false,2,true,true
HYDRAULIC,139,exact-v9-5-to-6mwe,140784,FEEDWATER-PUMP,feedwater-inventory,drum,true,true,4697696867057339468,4697696867057339468,4629972762686627829,4629972762686627829,false,false,2,true,true
HYDRAULIC,140,exact-v9-5-to-6mwe,146784,MCP,suction,pressure,true,true,4696699019769741619,4696699019769741619,4639139670225022884,4639139670225022884,false,false,2,true,true
HYDRAULIC,141,exact-v9-5-to-6mwe,146784,CHANNEL,pressure,outlet,true,true,-4529718303837039469,-4529718303837039469,-4583585326389022888,-4583585326389022888,true,true,2,true,true
HYDRAULIC,142,exact-v9-5-to-6mwe,146784,RETURN,outlet,drum,true,true,4692831259294211421,4692831259294211421,4639344564490663747,4639344564490663747,false,false,2,true,true
HYDRAULIC,143,exact-v9-5-to-6mwe,146784,FEEDWATER-PUMP,feedwater-inventory,drum,true,true,4697701197475537124,4697701197475537124,4629974852970141803,4629974852970141803,false,false,2,true,true
HYDRAULIC,144,exact-v9-5-to-6mwe,152784,MCP,suction,pressure,true,true,4696687900815786327,4696687900815786327,4639136422554868712,4639136422554868712,false,false,2,true,true
HYDRAULIC,145,exact-v9-5-to-6mwe,152784,CHANNEL,pressure,outlet,true,true,-4529585444808388186,-4529585444808388186,-4583517148556541503,-4583517148556541503,true,true,2,true,true
HYDRAULIC,146,exact-v9-5-to-6mwe,152784,RETURN,outlet,drum,true,true,4692952150053563373,4692952150053563373,4639411906805468699,4639411906805468699,false,false,2,true,true
HYDRAULIC,147,exact-v9-5-to-6mwe,152784,FEEDWATER-PUMP,feedwater-inventory,drum,true,true,4697705504605847288,4697705504605847288,4629976931105948331,4629976931105948331,false,false,2,true,true
HYDRAULIC,148,exact-v9-5-to-6mwe,158784,MCP,suction,pressure,true,true,4696676835858548686,4696676835858548686,4639133188532078303,4639133188532078303,false,false,2,true,true
HYDRAULIC,149,exact-v9-5-to-6mwe,158784,CHANNEL,pressure,outlet,true,true,-4529448250066081476,-4529448250066081476,-4583447598523071641,-4583447598523071641,true,true,2,true,true
HYDRAULIC,150,exact-v9-5-to-6mwe,158784,RETURN,outlet,drum,true,true,4693077073860812084,4693077073860812084,4639480592867465148,4639480592867465148,false,false,2,true,true
HYDRAULIC,151,exact-v9-5-to-6mwe,158784,FEEDWATER-PUMP,feedwater-inventory,drum,true,true,4697709865676502716,4697709865676502716,4629979034347188972,4629979034347188972,false,false,2,true,true
